"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","reset_pval","schwarz","loglik","specification","period"
133,1.00553180180499,0.649119522687062,2.06874860355674,0.0000177985876477018,0.000000533298497642349,"structural",0.663492577926213,0.0815125301398631,0.000114318885700238,0.0559933370173713,-806.485709869324,427.69460057577,"Spec1_LogNetWorth","full"
133,1.00037845841346,0.65270682655984,2.04817837615732,0.0000478334913204976,0.00000209324172596437,"structural",0.760591025873297,0.143948837457017,0.000328028926257162,0.00201878153753952,-804.039043125819,428.916441768129,"Spec2_LogNetWorth_CCI","full"
133,1.00524773109225,0.649317747721073,2.07229934720576,0.0000151114997004891,0.00000044607797444495,"structural",0.648959078090158,0.0785273530099382,0.000341032086174642,0.294177231357682,-806.560867596817,427.732179439517,"Spec3_LevelNetWorth","full"
133,0.916012252046631,0.708814228874997,2.39975175784643,0.000122692962510361,0.00000996625545210173,"structural",0.0142769958788237,0.00410520307494584,0.326355282881224,0.0528854020266253,-816.087757429752,442.276322612428,"Spec4_Disagg_NoCCI","full"
133,0.88600388406503,0.727580095977957,2.2489279137449,0.00000272514929923394,0.000000283672158843113,"structural",0.0885377130799151,0.0149709349322054,0.514824025276345,0.0000000390817430730806,-809.895303223324,448.960793765658,"Spec5_FullDisagg","full"
133,0.889618150795578,0.725353003198009,2.24903058528026,0.00000175071069188052,0.000000196780894766591,"structural",0.0888067336417959,0.0151169597269263,0.546880392762966,0.0000000461988099237967,-805.073592516202,448.995112976207,"Spec6_Preferred","full"
113,0.553662979096973,0.138643206474788,1.85816296082158,0.109885361693837,0.0541781176346257,"structural",0.489941228107808,0.093965675045315,0.096427931216244,0.395080372856253,-823.106457601652,430.462780075675,"Spec1_LogNetWorth","precovid"
113,0.556202262385638,0.130724148581478,1.85898905084432,0.126643875404258,0.0697458585668515,"structural",0.491111337084232,0.0996804139966901,0.104087941682822,0.412609014540563,-818.416026040277,430.481258204344,"Spec2_LogNetWorth_CCI","precovid"
113,0.552997647087059,0.140712132629213,1.86310190953978,0.11398078311998,0.056552217964155,"structural",0.507174604175694,0.0987235817498432,0.128882955264483,0.353385677312256,-823.378203155436,430.598652852567,"Spec3_LevelNetWorth","precovid"
113,0.504771910812717,0.284050364790761,2.02250223755953,0.0328564786766536,0.017267246759028,"structural",0.848140035587067,0.271034815495046,0.0889704311524091,0.587240389058609,-829.437181967445,443.082917895997,"Spec4_Disagg_NoCCI","precovid"
113,0.511650086622125,0.264405934386739,2.00331933198432,0.0730407056396654,0.0473873624519006,"structural",0.944455523494739,0.280131305017167,0.108870507421467,0.40655722770387,-811.989481400234,443.813843249816,"Spec5_FullDisagg","precovid"
113,0.512022444322053,0.26333487512362,2.03011106917028,0.0656360578180435,0.0434540198281548,"structural",0.82330235087987,0.285358044028931,0.160266032637573,0.561614317189355,-808.256664498698,444.311128708404,"Spec6_Preferred","precovid"
