"date","consumption_real","consumption_nominal","consumption_deflator","gross_disposable_income","final_consumption_hh","currency_deposits","equities","superannuation","household_debt","housing_wealth","housing_loan_flow","house_price_index","working_age_population","unemployment_rate","gross_disposable_income_billions","final_consumption_hh_billions","illiquid_financial_wealth","liquid_assets","net_liquid_assets","final_consumption_hh_sa","annualised_income","real_gdi","real_consumption_per_working_age","real_gdi_per_working_age","real_housing_wealth","real_illiquid_financial_wealth","real_household_debt","consumption_income_ratio","housing_wealth_income_ratio","illiquid_financial_income_ratio","liquid_assets_income_ratio","net_liquid_assets_income_ratio","debt_income_ratio","lcons","lgdi","lperm_income","permanent_income_per_working_age","disposable_permanent_income_ratio","log_disposable_permanent_income_ratio","lcons_perm_income_ratio","credit_conditions_index","long_run_fitted_ratio","ecm_residual","ecm_fitted","d_lcons_actual"
1988-09-01,116662,47527,40.7390581337539,56018,47527,120.7,134.2,148.2,131.9,634.7,NA,23.4646420191036,12834545.62,6.9339387,56.018,47.527,282.4,120.7,-11.2,47527,224.072,137504.406253288,0.00908968680731527,0.0107136170086937,1557.96434447788,693.192265449113,323.767917183916,0.848423720946838,2.8325716733907,1.26030918633296,0.538666143025456,-0.049983933735585,0.588650076761041,-4.70061482602711,-4.5362397289708,-4.5362397289708,0.0107136170086937,1,0,-0.164375097056308,NA,-0.116971193557013,-0.0474039034992947,NA,NA
1988-12-01,118496,48968,41.3246016743181,58839,48968,129.7,132.4,152.4,139.7,683,NA,25.8139712566696,12901673.93,6.8325993,58.839,48.968,284.8,129.7,-10,48968,235.356,142382.497631106,0.00918454462908597,0.0110359708673172,1652.76850187878,689.177846757066,338.055285084137,0.83223712163701,2.90198677747752,1.21008174850014,0.551080065942657,-0.0424888254389096,0.593568891381567,-4.6902331392157,-4.50659526241699,-4.53535039497419,0.0107231492305625,1.02917255276679,0.0287551325571984,-0.154882744241516,NA,-0.126474212168621,-0.0284085320728953,NA,NA
1989-03-01,121094,50737,41.898855434621,61083,50737,131,132.9,155.5,148.7,713.8,NA,27.9054472852344,12961327.82,6.3431231,61.083,50.737,288.4,131,-17.7,50737,244.332,145786.79862822,0.00934271562926953,0.0112478289765392,1703.62648954412,688.324291936851,354.90229615468,0.8306239051782,2.92143476908469,1.18036114794624,0.53615572254146,-0.0724424144197239,0.608598136961184,-4.67315831640328,-4.4875801488179,-4.5339172875895,0.0107385276717587,1.04742747985088,0.0463371387716007,-0.139241028813783,NA,-0.113216878479424,-0.0260241503343585,0.0222282933557107,0.0170748228124227
1989-06-01,122309,52326,42.7818067353997,63020,52326,134.1,136.3,163.6,158.6,736.4,NA,28.4498040597923,13017418.26,6.0117858,63.02,52.326,299.9,134.1,-24.5,52326,252.08,147305.606772924,0.00939579550699633,0.0113160385439535,1721.29242823835,700.998912586477,370.718331231128,0.830307838781339,2.92129482703904,1.18970168200571,0.531973976515392,-0.0971913678197398,0.629165344335132,-4.66749297625837,-4.48153421940215,-4.53234579554388,0.0107554164493907,1.05212462922293,0.0508115761417312,-0.135147180714494,NA,-0.105064272366059,-0.0300829083484354,0.0185841897874986,0.00566534014490916
1989-09-01,123324,53592,43.4562615549285,62779,53592,137.8,141.5,171.6,161,752.8,NA,28.4498040597923,13073573.84,6.0305223,62.779,53.592,313.1,137.8,-23.2,53592,251.116,144464.796909987,0.00943307480489206,0.011050138139579,1732.31652485446,720.494558889387,370.487460815047,0.853661256152535,2.99781774160149,1.24683413243282,0.548750378311219,-0.0923875818346899,0.641137960145909,-4.66353316921843,-4.50531234977715,-4.53153479217088,0.0107641426664267,1.02656927560468,0.0262224423937285,-0.131998377047556,NA,-0.111481866689884,-0.0205165103576719,0.0127026461291811,0.00395980703993892
1989-12-01,124200,54709,44.049114331723,66680,54709,145.2,140.8,176.7,166.9,764.1,NA,28.5357551294594,13133094.99,5.8482491,66.68,54.709,317.5,145.2,-21.7,54709,266.72,151376.482845601,0.00945702441766927,0.0115263373150704,1734.65462720942,720.786342283719,378.895245754812,0.820470905818836,2.86480203959208,1.19038692261548,0.544391121775645,-0.0813587282543492,0.625749850029994,-4.66099748898432,-4.4631206608163,-4.52948236823024,0.0107862579377285,1.06861317257704,0.0663617074139431,-0.131515120754078,NA,-0.115430245075743,-0.0160848756783354,0.00335768137961694,0.00253568023411521
1990-03-01,125580,56210,44.7603121516165,67847,56210,151.6,137.3,180,173.8,780.5,NA,28.6790069122378,13187539.36,6.18736,67.847,56.21,317.3,151.6,-22.2,56210,271.388,151578.478206725,0.0095226256067834,0.0114940683071239,1743.73225404732,708.886924034869,388.290410958904,0.828481730953469,2.87595619555765,1.16917476085899,0.558609813256297,-0.0818017008858167,0.640411514142114,-4.65408466917255,-4.46592417606373,-4.52757562246524,0.0108068442095276,1.06359156144681,0.0616514464015179,-0.126509046707311,NA,-0.121640108208297,-0.00486893849901474,0.000348027912080304,0.00691281981176228
1990-06-01,126147,57385,45.4905784521233,68283,57385,151.6,137,184,177.9,797,NA,28.9368601212389,13239192.23,6.6084828,68.283,57.385,321,151.6,-26.3,57385,273.132,150103.608974471,0.00952830035310999,0.0113378223056793,1752.01113531411,705.640620371177,391.069988672998,0.840399513788205,2.91800301685632,1.1752559202144,0.555042982880073,-0.0962904383228622,0.651333421202935,-4.65348892421965,-4.47961103566012,-4.52613668486109,0.0108224057774205,1.0476249494668,0.0465256492009694,-0.127352239358556,NA,-0.115903502967789,-0.0114487363907677,-0.00471555074106193,0.000595744952908817
1990-09-01,126360,58098,45.9781576448243,68532,58098,155.1,132.9,185.4,177.4,795.9,NA,28.6790069122378,13285671.33,7.3737441,68.532,58.098,318.3,155.1,-22.3,58098,274.128,149053.384281731,0.00951099849314126,0.0112191082090942,1731.03934730972,692.285242177011,385.835381596613,0.847749956224829,2.90338819821397,1.16113640343197,0.565794081596918,-0.0813488589272165,0.647142940524135,-4.65530641391516,-4.49013686430188,-4.52505669024431,0.0108341002312376,1.0355366822938,0.0349198259424286,-0.130249723670849,NA,-0.124571515310056,-0.00567820836079221,-0.01589469853547,-0.00181748969551609
1990-12-01,125636,58926,46.9021618007577,70537,58926,157.1,128.5,187.3,180.3,801.1,NA,28.8509090515719,13338413.32,8.0196504,70.537,58.926,315.8,157.1,-23.2,58926,282.148,150391.788548349,0.00941911132800314,0.0112750883437423,1708.02361606082,673.316512235685,384.417248752673,0.835391354891759,2.83929001800474,1.11927073734352,0.556799977316869,-0.0822263492918611,0.63902632660873,-4.66501453369722,-4.48515955825892,-4.52385977628475,0.0108470754806232,1.0394588259189,0.0387002180258298,-0.141154757412473,NA,-0.121846595252064,-0.0193081621604088,-0.0145936148258579,-0.00970811978206232
