Series ID,LPHOIC,LPHOSP,LPHIIC,LPHISP,LPHTIC,LPHTSP,LPHTEX,LPHTICRI,LPHTSPRI,LPHTEXRI,HSHTOF,HSHTRW
30-Sep-2019,9459,17731,5464,8149,14944,25761,1860,4.5,7.7,0.6,39,67
31-Dec-2019,8905,17419,5372,8697,14331,26242,5803,4.3,7.9,1.7,39,67
31-Mar-2020,8903,17523,5428,9276,14311,26708,5774,4.2,7.9,1.7,40,72
30-Jun-2020,8045,16599,4750,8854,12867,25653,14768,3.7,7.4,4.2,40,72
30-Sep-2020,7696,16226,4637,9014,12336,25269,13897,3.4,7.0,3.9,39,71
31-Dec-2020,7762,17129,4554,8766,12321,25881,9515,3.5,7.4,2.7,39,70
31-Mar-2021,7753,17759,4422,8757,12207,26516,8756,3.4,7.4,2.4,38,69
30-Jun-2021,7855,18383,4424,8372,12288,26768,7969,3.4,7.5,2.2,38,68
30-Sep-2021,7620,18576,4273,8228,11903,26756,15566,3.2,7.1,4.1,37,67
31-Dec-2021,7470,18571,4136,8132,11616,26730,11223,3.1,7.2,3.0,37,66
31-Mar-2022,7522,18778,4137,8212,11665,26917,8465,3.1,7.1,2.2,37,67
30-Jun-2022,7938,19481,4314,8486,12256,27967,10872,3.2,7.3,2.8,37,67
30-Sep-2022,10097,20971,5350,9220,15439,30188,7263,3.9,7.6,1.8,37,67
31-Dec-2022,12468,23013,6403,9981,18885,33085,4985,4.7,8.3,1.3,38,67
31-Mar-2023,13787,24609,6999,10722,20808,35324,6383,5.2,8.8,1.6,38,67
30-Jun-2023,15287,26061,7664,11350,22972,37429,6454,5.6,9.2,1.6,40,68
30-Sep-2023,16534,27515,8240,11889,24784,39409,6283,6.0,9.5,1.5,41,69
31-Dec-2023,17446,28286,8680,12413,26079,40577,7962,6.1,9.5,1.9,43,70
31-Mar-2024,18378,29207,9055,12682,27473,41922,8978,6.4,9.7,2.1,44,71
30-Jun-2024,19183,30342,9509,13241,28685,43549,8480,6.6,10.0,1.9,46,72
30-Sep-2024,19801,31117,9770,13525,29572,44565,11078,6.6,10.0,2.5,48,74
31-Dec-2024,19963,31581,9846,13638,29801,45215,13014,6.5,9.9,2.9,49,75
31-Mar-2025,20052,31853,9886,13838,29934,45679,13251,6.4,9.8,2.8,50,76
30-Jun-2025,20059,31897,9866,13838,29910,45674,10901,6.4,9.8,2.3,52,78
30-Sep-2025,19507,31771,9561,13697,29071,45367,14361,6.1,9.6,3.0,53,79
31-Dec-2025,19084,31603,9521,13655,28609,45307,14960,,,,55,79
