regime,equation,term,estimate,std_error,t_stat,p_value
a_cons_only_cci,consumption,(Intercept),-0.049457653988555075,0.029573293302444445,-1.6723755951951096,0.09625782556717155
a_cons_only_cci,consumption,ln_networth_y_extended,0.02376986508648147,0.010601605783181213,2.2421004489896124,0.026225416859826378
a_cons_only_cci,consumption,ln_hp_over_y,-0.0014763655422995758,0.002146848162686999,-0.6876897807489813,0.4925691170088453
a_cons_only_cci,consumption,real_rate,1.9611608143230443e-4,3.903375755387658e-4,0.5024268574748768,0.6160062232134249
a_cons_only_cci,consumption,ln_yp_over_y,0.2417850374796683,0.040735776918441935,5.935446817762967,1.5622311444474235e-8
a_cons_only_cci,consumption,cci_williams,0.003891086651311767,0.00173193754795877,2.246666836167234,0.02592588044978017
a_cons_only_cci,consumption,ecm_lag,-0.2373609030717705,0.03913625877660676,-6.064987060379164,8.072893020738547e-9
a_cons_only_cci,consumption,d2000_gst,0.006389206315988136,0.008471011442822344,0.7542436176735232,0.45172836539909955
a_cons_only_cci,consumption,d2008_gfc,-0.011041962899844996,0.008507858067448592,-1.297854620082579,0.19606504897907762
a_cons_only_cci,consumption,d2020_covid,-0.15743435219493523,0.010418500980340962,-15.111036846087904,0
a_cons_only_cci,consumption,d2020_rebound,0.020400416258501246,0.011078528304022558,1.8414373912005946,0.06726986779776456
a_cons_only_cci,consumption,d_neg_gearing_8587,-0.0010909193182549518,0.0030743370693098356,-0.3548470104808171,0.7231364127869429
a_cons_only_cci,consumption,d_recession_1991,-0.002561867405102487,0.00853777170162883,-0.3000627675033447,0.7644895232525526
a_cons_only_cci,consumption,d_apra_2014,8.296205122492703e-4,0.00521636304974601,0.15904194250621903,0.8738213443709493
a_cons_only_cci,consumption,d_apra_2017,7.455396867805178e-4,0.006445372017743104,0.11567054387677907,0.9080478063748729
a_cons_only_cci,consumption,d_jobkeeper_2020,0.01210580066787359,0.006927103745662657,1.7475991572168277,0.08230773222784604
