block,term,estimate,std_error,t_stat,p_value,lr_struct,sign_prior,prior_match
long_run,lincome,0.015466356758720202,0.04580872970144357,0.3376290252866979,0.7360405924678913,0.27193097276493267,>0,TRUE
long_run,log_credit_y,0.04488141157841459,0.02045769268201908,2.193864786025567,0.029540602540132816,0.789109297035994,>0,TRUE
long_run,real_rate,-5.348866508169722e-4,8.05336357663687e-4,-0.6641779496565879,0.5074358554140711,-0.009404428563541805,<0,TRUE
long_run,prime_age_share,-0.26871926370262517,0.3123423370829722,-0.8603357015646624,0.3907613246619338,-4.724647951634211,>0,FALSE
long_run,cci_williams_lvl,-0.015538733020316019,0.0037939102814812634,-4.095703869478221,6.380840019959319e-5,-0.27320349916063624,>0,FALSE
short_run,d_log_credit_y,0.21751013510898415,0.08043899044408193,2.7040386000392282,0.007514787720967131,NA,NA,NA
short_run,d_real_rate,0.008611752937178889,0.0021330747509333507,4.037248546217483,8.025281206426638e-5,NA,NA,NA
short_run,d2008_gfc,-0.040117946935479695,0.018628318505725768,-2.1536000108194777,0.032616763405664786,NA,NA,NA
short_run,d2020_covid,-0.030047366779834692,0.019689770986365776,-1.5260394242594826,0.12877492547423822,NA,NA,NA
short_run,d2020_rebound,-0.0052231423591346405,0.01989315665029841,-0.2625597561489212,0.7931935539983336,NA,NA,NA
short_run,d_neg_gearing_8587,-0.021221612083459938,0.007059700392395247,-3.0060216303683354,0.003029424128028647,NA,NA,NA
short_run,d_recession_1991,-0.002104071928057028,0.01853630617993992,-0.11351085311344634,0.9097534824615615,NA,NA,NA
short_run,d_apra_2014,0.006329328971036359,0.011105153692517451,0.5699451935816974,0.5694335133703619,NA,NA,NA
short_run,d_apra_2017,-0.010662422795003054,0.013775972821365258,-0.7739869215237289,0.4399652942562331,NA,NA,NA
short_run,(Intercept),0.29943003122219874,0.5119125382190769,0.5849241986998478,0.5593394009604107,NA,NA,NA
lambda,ecm_lag_H,-0.05687603953849678,0.019362127132407026,-2.9374892102273975,0.0037466940297279116,NA,<0,TRUE
