regime,equation,cci_coef,cci_t,cci_sign_prior,cci_sign_ok,lambda
a_cons_only_cci,consumption,0.003891086651311767,2.246666836167234,1,TRUE,-0.2373609030717705
a_cons_only_cci,house_price,-0.016982041542505398,-4.434508745275053,1,FALSE,-0.08993985957515217
a_cons_only_cci,mortgage,2.554546124441235e-4,0.12568253607180901,1,TRUE,-0.0011969733755929763
a_cons_only_cci,hew,-1.2089443199118802e-4,-0.06737385202424007,1,FALSE,0.06808201277457399
b_joint_cci_cons_wt,consumption,0.00324993408095101,0.7343144573189364,1,TRUE,-0.21518042979867283
b_joint_cci_cons_wt,house_price,0.02400606009439841,2.027810699549631,1,TRUE,-0.03720923083794099
b_joint_cci_cons_wt,mortgage,-0.008575154133336536,-1.427959862300133,1,FALSE,0.0014978820724664422
b_joint_cci_cons_wt,hew,-0.0067302559469997495,-1.3253777096104389,1,FALSE,0.06714662442133694
c_joint_cci_HP_wt,consumption,0.0032499340809480984,0.7343144573182788,1,TRUE,-0.215180429798653
c_joint_cci_HP_wt,house_price,0.0240060600945419,2.0278106995621585,1,TRUE,-0.03720923083806141
c_joint_cci_HP_wt,mortgage,-0.008575154133346809,-1.4279598623016474,1,FALSE,0.0014978820724729494
c_joint_cci_HP_wt,hew,-0.006730255947009585,-1.3253777096120538,1,FALSE,0.06714662442135957
d_joint_cci_M_wt,consumption,0.0032499340809480984,0.7343144573182788,1,TRUE,-0.215180429798653
d_joint_cci_M_wt,house_price,0.0240060600945419,2.0278106995621585,1,TRUE,-0.03720923083806141
d_joint_cci_M_wt,mortgage,-0.008575154133346809,-1.4279598623016474,1,FALSE,0.0014978820724729494
d_joint_cci_M_wt,hew,-0.006730255947009585,-1.3253777096120538,1,FALSE,0.06714662442135957
