equation,regime,term,estimate,std_error,lr_struct,lambda
consumption,a_cons_only_cci,ln_networth_y_extended,-0.007424635511878463,0.016810186652928064,-0.027347673745667298,-0.27149056921357895
consumption,a_cons_only_cci,ln_hp_over_y,0.02240276968177174,0.014033153257534252,0.0825176717801483,-0.27149056921357895
consumption,a_cons_only_cci,real_rate,-2.451320762046737e-4,3.4366688134581584e-4,-9.029119387636287e-4,-0.27149056921357895
consumption,a_cons_only_cci,ln_yp_over_y,0.2905074081689428,0.047460239263458194,1.0700460388382902,-0.27149056921357895
consumption,a_cons_only_cci,cci_williams,0.0053006204055353135,0.0018216243649624183,0.0195241419283532,-0.27149056921357895
consumption,a_cons_only_cci,ecm_lag,-0.27149056921357895,0.04109539098597012,NA,-0.27149056921357895
consumption,b_joint_cci_OLS,ln_networth_y_extended,0.009702153024852092,0.0164449141881045,0.04619475288679825,-0.2100271658261174
consumption,b_joint_cci_OLS,ln_hp_over_y,0.0058403492600211365,0.013061825590645032,0.027807589732731966,-0.2100271658261174
consumption,b_joint_cci_OLS,real_rate,-1.3840913791858842e-4,4.5110695782808383e-4,-6.590058832350196e-4,-0.2100271658261174
consumption,b_joint_cci_OLS,ln_yp_over_y,0.2021514417590846,0.03871262457460881,0.9625014029206432,-0.2100271658261174
consumption,b_joint_cci_OLS,cci_williams_joint,0.002836133249200685,0.004947261012139371,0.013503649578115692,-0.2100271658261174
consumption,b_joint_cci_OLS,ecm_lag,-0.2100271658261174,0.03577777301482262,NA,-0.2100271658261174
consumption,c_joint_cci_SUR,ln_networth_y_extended,0.0074609590292744445,0.016370882835594194,0.03364476200546558,-0.22175692691963206
consumption,c_joint_cci_SUR,ln_hp_over_y,0.008963605379351036,0.013013790027670011,0.040420858567360905,-0.22175692691963206
consumption,c_joint_cci_SUR,real_rate,-1.4844646248445204e-4,4.5041719098064633e-4,-6.694107126504833e-4,-0.22175692691963206
consumption,c_joint_cci_SUR,ln_yp_over_y,0.21247404998575908,0.03852480583809736,0.9581394048753336,-0.22175692691963206
consumption,c_joint_cci_SUR,cci_williams_joint,0.0027144371438799927,0.004942156674625352,0.012240596862454467,-0.22175692691963206
consumption,c_joint_cci_SUR,ecm_lag,-0.22175692691963206,0.03556195827441648,NA,-0.22175692691963206
house_price,a_cons_only_cci,lincome,0.015466356758720202,0.04580872970144357,0.27193097276493267,-0.05687603953849678
house_price,a_cons_only_cci,log_credit_y,0.04488141157841459,0.02045769268201908,0.789109297035994,-0.05687603953849678
house_price,a_cons_only_cci,real_rate,-5.348866508169722e-4,8.05336357663687e-4,-0.009404428563541805,-0.05687603953849678
house_price,a_cons_only_cci,prime_age_share,-0.26871926370262517,0.3123423370829722,-4.724647951634211,-0.05687603953849678
house_price,a_cons_only_cci,cci_williams,-0.015538733020316019,0.0037939102814812634,-0.27320349916063624,-0.05687603953849678
house_price,a_cons_only_cci,ecm_lag_H,-0.05687603953849678,0.019362127132407026,NA,-0.05687603953849678
house_price,b_joint_cci_OLS,lincome,0.012501767196599824,0.04690848712822926,2.304843623505473,-0.005424128157373943
house_price,b_joint_cci_OLS,log_credit_y,-0.01379747519439604,0.022085980110139018,-2.5437221972048683,-0.005424128157373943
house_price,b_joint_cci_OLS,real_rate,-0.003098562552687821,0.0010288312267849578,-0.5712554096782201,-0.005424128157373943
house_price,b_joint_cci_OLS,prime_age_share,0.021269182041770675,0.3027986084744432,3.9212167236232878,-0.005424128157373943
