cci_variant,term,estimate,std_error,t_stat,p_value
maximal_gets,(Intercept),-0.022431810030688698,0.06640742693929305,-0.3377906819247031,0.7360921094993014
maximal_gets,nla_y,0.042623467748682024,0.019731354485939923,2.1601896503889004,0.03268160876091744
maximal_gets,eq_y,0.019595042899940962,0.021697775857122695,0.9030899309206629,0.36822917848210235
maximal_gets,super_y,0.0022947231728290543,0.009189076247444148,0.249722943964831,0.803214836565404
maximal_gets,ha_y,0.011109709808622146,0.005518398788131977,2.0132125703772985,0.046257573802341814
maximal_gets,ln_hp_over_y,0.0030025494655856054,0.011538134646040383,0.2602283261286095,0.7951192739952818
maximal_gets,real_rate,-6.175354864843615e-4,8.223466798423797e-4,-0.7509430044792366,0.45410968719336964
maximal_gets,ln_yp_over_y,0.2638559026997014,0.08363590140021492,3.1548162724653,0.0020155504463058994
maximal_gets,ecm_lag,-0.24303006713713798,0.05721432030246159,-4.247713961336387,4.2012514144690354e-5
maximal_gets,sdmma_1992_01,0.003413653620311754,0.004228169017927397,0.8073597828842448,0.42100520570033606
maximal_gets,sdmma_2007_09,0.0011570490232309567,0.008914255874673755,0.12979760055107264,0.8969368786293506
maximal_gets,sdmma_2009_01,0.012207728094831798,0.006536985048803457,1.8674860051984248,0.06419473170232916
maximal_gets,sdmma_2019_01,-0.03334607553289961,0.011400659282286552,-2.924925191362408,0.004098019340601588
maximal_gets,sdmma_2020_04,0.00468035635746057,0.013148882150950631,0.3559508940554458,0.7224822018328952
maximal_gets,d2000_gst,0.005055508590862869,0.008495332347130218,0.5950925030697186,0.5528660842960482
maximal_gets,d2008_gfc,-0.002955768156953397,0.008817443093560562,-0.3352182855721535,0.7380268670238062
maximal_gets,d2020_covid,-0.1519626451025918,0.010377958200090095,-14.64282686176868,8.278621262338881e-29
maximal_gets,d2020_rebound,0.024796433367300138,0.01223036431071718,2.027448466565432,0.04476007903779844
maximal_gets,d_recession_1991,-5.066648961077828e-4,0.00845547667906118,-0.059921505946846074,0.9523146174576768
maximal_gets,d_apra_2014,-0.009955979278761212,0.0077705735741856055,-1.2812412344740778,0.20249982992718604
maximal_gets,d_apra_2017,0.0017321724503828494,0.006680903308656329,0.25927219274951996,0.7958551723603812
maximal_gets,d_jobkeeper_2020,0.022540536360789686,0.008436475930677345,2.6717952550336928,0.008558205064205493
sectional,(Intercept),-0.022431810030688698,0.06640742693929305,-0.3377906819247031,0.7360921094993014
sectional,nla_y,0.042623467748682024,0.019731354485939923,2.1601896503889004,0.03268160876091744
sectional,eq_y,0.019595042899940962,0.021697775857122695,0.9030899309206629,0.36822917848210235
sectional,super_y,0.0022947231728290543,0.009189076247444148,0.249722943964831,0.803214836565404
sectional,ha_y,0.011109709808622146,0.005518398788131977,2.0132125703772985,0.046257573802341814
sectional,ln_hp_over_y,0.0030025494655856054,0.011538134646040383,0.2602283261286095,0.7951192739952818
sectional,real_rate,-6.175354864843615e-4,8.223466798423797e-4,-0.7509430044792366,0.45410968719336964
sectional,ln_yp_over_y,0.2638559026997014,0.08363590140021492,3.1548162724653,0.0020155504463058994
sectional,ecm_lag,-0.24303006713713798,0.05721432030246159,-4.247713961336387,4.2012514144690354e-5
sectional,sdmma_1992_01,0.003413653620311754,0.004228169017927397,0.8073597828842448,0.42100520570033606
sectional,sdmma_2007_09,0.0011570490232309567,0.008914255874673755,0.12979760055107264,0.8969368786293506
sectional,sdmma_2009_01,0.012207728094831798,0.006536985048803457,1.8674860051984248,0.06419473170232916
sectional,sdmma_2019_01,-0.03334607553289961,0.011400659282286552,-2.924925191362408,0.004098019340601588
sectional,sdmma_2020_04,0.00468035635746057,0.013148882150950631,0.3559508940554458,0.7224822018328952
sectional,d2000_gst,0.005055508590862869,0.008495332347130218,0.5950925030697186,0.5528660842960482
sectional,d2008_gfc,-0.002955768156953397,0.008817443093560562,-0.3352182855721535,0.7380268670238062
sectional,d2020_covid,-0.1519626451025918,0.010377958200090095,-14.64282686176868,8.278621262338881e-29
sectional,d2020_rebound,0.024796433367300138,0.01223036431071718,2.027448466565432,0.04476007903779844
sectional,d_recession_1991,-5.066648961077828e-4,0.00845547667906118,-0.059921505946846074,0.9523146174576768
sectional,d_apra_2014,-0.009955979278761212,0.0077705735741856055,-1.2812412344740778,0.20249982992718604
sectional,d_apra_2017,0.0017321724503828494,0.006680903308656329,0.25927219274951996,0.7958551723603812
sectional,d_jobkeeper_2020,0.022540536360789686,0.008436475930677345,2.6717952550336928,0.008558205064205493
