equation,term,estimate,std_error,t_stat,p_value,lr_struct
consumption,(Intercept),0.027045450214463168,0.10465872331429994,0.2584156328110668,0.7963915697750736,NA
consumption,ln_networth_y_extended,0.009545860991449596,0.017135310785935193,0.5570871232335581,0.5781837839333288,0.045071771547352237
consumption,ln_hp_over_y,0.008225790704868383,0.014656155459308708,0.5612516002376227,0.5753481386814681,0.038838922940345535
consumption,real_rate,2.171436800153928e-5,3.418751917626402e-4,0.06351548320772951,0.9494289370706641,1.0252663795724224e-4
consumption,ln_yp_over_y,0.20990201752871265,0.03925226544470642,5.347513453061603,2.774691103546445e-7,0.9910741199622063
consumption,ecm_lag,-0.2117924515441056,0.0364211738570896,-5.815091308565249,2.8397290297021982e-8,NA
consumption,d2000_gst,0.004281689341428385,0.008578162774588916,0.4991382716718817,0.6183124625609093,NA
consumption,d2008_gfc,-0.012071708390213725,0.008598336463572526,-1.4039585961024426,0.16211349216774273,NA
consumption,d2020_covid,-0.15781953189224288,0.010546017821598098,-14.964845931611329,0,NA
consumption,d2020_rebound,0.02270975413941409,0.011068890942621916,2.0516738539692194,0.04169985118431052,NA
consumption,d_neg_gearing_8587,-9.620767329647406e-4,0.003124747133987645,-0.30788946807896955,0.7585346844830159,NA
consumption,d_recession_1991,-0.002874103629304419,0.008639513177093446,-0.3326696273726087,0.7397841345714009,NA
consumption,d_apra_2014,0.007270090714875546,0.006059175575494262,1.1998481681697277,0.23182947348112992,NA
consumption,d_apra_2017,-0.010231743752368568,0.004837998402971203,-2.1148712546256436,0.03586490211396365,NA
consumption,d_jobkeeper_2020,0.011830130252582807,0.007043041518999417,1.6796905457208602,0.09481215858312475,NA
house_price,(Intercept),0.6405559230814847,0.5209885949906031,1.2295008551829012,0.22055361067309676,NA
house_price,lincome,0.008902406828392878,0.04512317526199018,0.1972912317607197,0.8438312457160264,0.10327360066479326
house_price,log_credit_y,0.06920324728234359,0.022443290344505436,3.0834715507428223,0.002381945074145797,0.8028018335165089
house_price,real_rate,-7.744076711091053e-4,8.010476347459786e-4,-0.9667435961591458,0.3350217383259273,-0.008983623206569641
house_price,prime_age_share,-0.5393139585170615,0.32777348697645825,-1.6453861582642186,0.10170587123988106,-6.2563861052949274
house_price,cci_williams_lvl,-0.01549420695574745,0.003517372881248527,-4.405051007912367,1.8491128612740937e-5,-0.17974268898407472
house_price,ecm_lag_H,-0.08620215399759733,0.022619725991372446,-3.810928303485034,1.9221474759278934e-4,NA
house_price,d_log_credit_y,0.18839722238621873,0.08032906862353444,2.3453181471473328,0.020144864402170004,NA
house_price,d_real_rate,0.009259735280699389,0.0021220453285951393,4.3635897668734644,2.194663678878328e-5,NA
house_price,d2008_gfc,-0.040113882935299744,0.018376551447811054,-2.182884152623639,0.0303915355684381,NA
house_price,d2020_covid,-0.03262037416243916,0.01942615296974881,-1.6791988724291897,0.09491845616080052,NA
house_price,d2020_rebound,-0.00664774613869124,0.019597840667746242,-0.33920809192167667,0.7348643772816348,NA
house_price,d_neg_gearing_8587,-0.02365024160036707,0.007037610495045883,-3.360549950443496,9.57200461605856e-4,NA
house_price,d_recession_1991,-0.001984603944772349,0.018297636793662066,-0.10846230948576792,0.913754672007999,NA
house_price,d_apra_2014,0.004249996187834733,0.010949252527143481,0.3881540020470696,0.6983792849440058,NA
house_price,d_apra_2017,-0.011912299528185226,0.013661124395420294,-0.8719852907699649,0.38442495840129043,NA
