metric,value
"OLS rho(eps_C, eps_H)",-0.0038
"SUR rho(eps_C, eps_H)",-0.0045
SUR sigma_CC,0.000072
SUR sigma_HH,0.000321
SUR sigma_CH,-0.000001
Verdict,NEGLIGIBLE cross-equation linkage — single-equation OLS approximately efficient
