equation,term,ols_estimate,sur_estimate,pct_change_est,ols_se,sur_se,se_ratio
consumption,(Intercept),-0.03972979483038001,-0.03972411237030201,-0.014302767236168211,0.029332403872362363,0.029332401120044406,0.9999999061680056
consumption,ln_networth_y_extended,0.021372091083573946,0.02136707743604246,-0.023458853473342558,0.01060484051616389,0.010604839536502049,0.9999999076212566
consumption,ln_hp_over_y,-6.685994560191368e-4,-6.691675941565465e-4,0.08497436429164505,0.002122116299080535,0.0021221161181773163,0.9999999147533909
consumption,real_rate,1.7808810297129034e-4,1.7803489279020896e-4,-0.029878571445033742,3.9497817211129195e-4,3.949781567029526e-4,0.9999999609893901
consumption,ln_yp_over_y,0.19765938264086197,0.1976088551152,-0.02556292799608052,0.0359019148876185,0.03590191193823637,0.9999999178488909
consumption,ecm_lag,-0.20351851655081454,-0.2034446350313374,-0.03630211183202431,0.03648501597143431,0.0364850119190673,0.99999988893065
consumption,d2000_gst,0.004260563976111604,0.004262629599499666,0.04848239340245101,0.008613413811363716,0.008613412532728397,0.9999998515530141
consumption,d2008_gfc,-0.012425707781339465,-0.012425770373433707,5.03730615136596e-4,0.008592328125349956,0.008592328121252674,0.9999999995231466
consumption,d2020_covid,-0.15779767717507678,-0.15780313609889332,0.003459444976797931,0.010545710279239937,0.0105457097360543,0.9999999484922663
consumption,d2020_rebound,0.0238717056028095,0.023877608171567886,0.024726212934242656,0.011108613287137322,0.01110861288342625,0.9999999636578335
consumption,d_neg_gearing_8587,-8.690436287137133e-4,-8.69013469444124e-4,-0.003470397640904239,0.0031124623019010244,0.0031124622976973653,0.9999999986494105
consumption,d_recession_1991,-0.0028676332263576965,-0.002867662499718368,0.0010208195525909158,0.00864144844786567,0.008641448447105958,0.9999999999120851
consumption,d_apra_2014,0.005190006095982684,0.005189436633089776,-0.01097229718763851,0.004898437761410985,0.004898437714938096,0.9999999905127122
consumption,d_apra_2017,-0.009530253362680466,-0.009528297699055076,-0.02052058377638314,0.004662069863845039,0.004662069820416029,0.9999999906846075
consumption,d_jobkeeper_2020,0.011636557247701584,0.01164488318427098,0.0715498269132926,0.007015269613834416,0.007015268449283229,0.9999998339976579
house_price,(Intercept),0.3894200873549249,0.3896080733370092,0.04827331413773999,0.5130036383682318,0.513003587122768,0.9999999001070167
house_price,lincome,0.033711514994500064,0.03372390598106313,0.03675594693709231,0.045640346838190654,0.045640343560235636,0.9999999281785691
house_price,log_credit_y,0.06722837080995551,0.06725095289900469,0.03359011794739765,0.022002997257573285,0.02200299419193467,0.9999998606717722
house_price,real_rate,-8.895167861030603e-4,-8.890852374310039e-4,-0.04851495540033809,7.913206084696024e-4,7.913205914670282e-4,0.999999978513672
house_price,prime_age_share,-0.4362767295492605,-0.4366250466778203,0.07983857606150123,0.3155505390301249,0.3155504932293505,0.9999998548543935
house_price,cci_williams_lvl,-0.024272327464169175,-0.024282355921152965,0.0413164209266451,0.005189456586850342,0.005189456010417694,0.9999998889223489
house_price,ecm_lag_H,-0.08938161561590113,-0.08940913304985193,0.030786458446944037,0.02254326149890674,0.022543258310711713,0.999999858574367
house_price,d_log_credit_y,0.19340051794496946,0.19329881917960653,-0.05258453619646492,0.07967601465940358,0.07967600305051105,0.9999998542987801
house_price,d_real_rate,0.009291011485578657,0.009289775779113612,-0.01330002085308972,0.0021106705798361303,0.0021106702296867126,0.9999998341051318
house_price,d2008_gfc,-0.039303502241136615,-0.03930957284061649,0.01544544158591201,0.01824278968043387,0.018242789619935196,0.9999999966836939
house_price,d2020_covid,-0.03084222098553379,-0.03085286706656838,0.034517880666187314,0.019173582427312146,0.01917358214264887,0.99999998515336
house_price,d2020_rebound,-0.005667877662425737,-0.005680513795691376,0.2229429429892058,0.01935551917227477,0.019355518911565714,0.9999999865305057
house_price,d_neg_gearing_8587,-0.024099007935430614,-0.024101584917161474,0.010693310437363506,0.007004423809000093,0.007004423661565669,0.9999999789512417
house_price,d_recession_1991,-0.003115331203389737,-0.003116531253551464,0.038520789071199275,0.01820179068344964,0.018201790668323666,0.9999999991689843
house_price,d_apra_2014,0.0050545353768360925,0.005058236259410096,0.07321904582889192,0.010890648564928615,0.010890648091569274,0.9999999565352478
house_price,d_apra_2017,-0.012032627121721177,-0.01204664742469203,0.11651905131792842,0.013327270794932634,0.013327269932915522,0.9999999353193069
