"spec_name","horizon","n","mae","rmse","bias","mae_pct"
"Spec7_CohortBurden",1,36,0.0166781980030477,0.0306182063452339,-0.00420695099386216,367.191959552293
"Benchmark_RW_drift",1,36,0.0145890522497541,0.0309716481738377,-0.00261028451796941,219.966740831037
"Spec4_Disagg_NoCCI",1,36,0.0144390070868555,0.0319809477827146,-0.00099042733784283,160.868881503409
"Spec6_Preferred",1,36,0.0161250030122895,0.032213796109993,-0.00275028274252685,253.102048147273
"Spec8_CCI_Interactions",1,36,0.0155066003112604,0.0324145982190678,-0.00228766041818634,184.617063045683
"Spec9_KalmanCCI",1,36,0.0155066003112604,0.0324145982190678,-0.00228766041818634,184.617063045683
"Benchmark_AR1",1,36,0.0172930046629291,0.0381908863411002,0.000568586335453558,216.361106511302
"Benchmark_RW_drift",4,36,0.0149552960084863,0.0309632969279471,-0.00310562236592669,231.685754412484
"Benchmark_AR1",4,36,0.0154004794076844,0.0311612027956795,-0.00270887196699295,238.0891424635
"Spec8_CCI_Interactions",4,36,0.0166361173304872,0.0312935959624995,-0.00200150032267658,348.688920007508
"Spec9_KalmanCCI",4,36,0.0166361173304872,0.0312935959624995,-0.00200150032267658,348.688920007508
"Spec4_Disagg_NoCCI",4,36,0.0167243039770087,0.032192708001784,0.00261048416188103,343.204261391193
"Spec6_Preferred",4,36,0.020066061133743,0.0327483475516597,-0.00613116056236652,762.994937498169
"Spec7_CohortBurden",4,36,0.0231239597185966,0.0355890158097394,-0.00734273312393948,892.157443619061
"Benchmark_RW_drift",8,32,0.0166006998026479,0.0328448506792015,-0.00335249219508073,245.493074239363
"Benchmark_AR1",8,32,0.0166969574460533,0.0328791801528688,-0.00329974398080456,247.680669411264
"Spec8_CCI_Interactions",8,32,0.0216672427949924,0.0380574898356969,-0.00106624811521219,1313.42924729595
"Spec9_KalmanCCI",8,32,0.0216672427949924,0.0380574898356969,-0.00106624811521219,1313.42924729595
"Spec6_Preferred",8,32,0.0265585838479967,0.0390489213434773,-0.0132261457112046,981.778880088798
"Spec7_CohortBurden",8,32,0.0296153863167271,0.0467450969475824,-0.00741126141794395,2336.93266204475
"Spec4_Disagg_NoCCI",8,32,0.0247879057005779,0.0482123114268557,0.00972349598736728,2135.83412181037
