"n_obs","se_pct","adj_r2","dw","lm_het_pval","ar1_pval","ar4_pval","chow_pval","reset_pval","schwarz","loglik","specification"
133,1.00557974001424,0.64908606579854,2.05762503693255,0.0000159579789314352,0.697510859559202,0.0692459975345419,0.000525616412390684,0.182934354395888,-806.473028759004,427.688260020611,"spec1"
86,1.16070595196792,0.683831304090797,2.02890365146215,0.00288126294030865,0.818423553050443,0.384315295952347,0.0233577969169586,0.00000216358063116273,-487.362087836426,265.952780399481,"spec2"
133,1.00491513366924,0.649549763600607,2.06246903228105,0.000015020105018762,0.678492719013244,0.0690489454785111,0.000582586397460227,0.323526216712973,-806.648891226024,427.776191254121,"spec3"
133,0.925117004705913,0.702996948237381,2.34811447644298,0.0000487621434450751,0.030283651427947,0.0113368681435958,0.380674084272625,0.0218690650211939,-817.24349786274,440.409018264811,"spec4"
86,0.996767581586242,0.766835593405265,2.28395707331825,0.000136192915607155,0.11429003104514,0.00850132554415835,0.31682301552305,0.000000534192797717553,-493.802562072667,282.536059406362,"spec5"
86,1.00381988778409,0.763524563147445,2.28436159896577,0.0000658786395168055,0.112994060984629,0.00800188565953784,0.349687719749364,0.000000469884538808017,-489.355447891281,282.539675963795,"spec6"
