"specification","term","base_estimate","base_se","drehmann_estimate","drehmann_se","n_obs","maturity_years","maturity_quarters"
"Spec3_LevelNetWorth","(Intercept)",-0.0313142609925312,0.0311850264321564,-0.0941902567311638,0.0271407284348372,133,25,100
"Spec3_LevelNetWorth","networth_y",0.00370159835620925,0.00206173850090913,0.00719286457355039,0.00193795767733675,133,25,100
"Spec3_LevelNetWorth","ln_hp_over_y",-0.00283443798111826,0.00514221685470521,-0.0152923737719943,0.00384220125559484,133,25,100
"Spec3_LevelNetWorth","real_rate",-0.00000581498131756997,0.000662709512248825,-0.0010382104442243,0.000753052904554957,133,25,100
"Spec3_LevelNetWorth","ln_yp_over_y",0.165579234414319,0.0548897744766656,-0.00341807623427198,0.00257666375925815,133,25,100
"Spec3_LevelNetWorth","ecm_lag",-0.184065537282422,0.0449888404558114,-0.0805555655826149,0.0272770750813986,133,25,100
"Spec3_LevelNetWorth","d2000_gst",0.00328956080610802,0.00860522365217066,0.000313427012700256,0.00910937883107838,133,25,100
"Spec3_LevelNetWorth","d2008_gfc",-0.0122838673519082,0.00847783997620803,-0.0120602397932427,0.00894090345866892,133,25,100
"Spec3_LevelNetWorth","d2020_covid",-0.158894546499177,0.0104001778814737,-0.159895733270501,0.010999944968348,133,25,100
"Spec3_LevelNetWorth","d2020_rebound",0.0257620004655624,0.0115546890272329,0.0385972383954349,0.0111835530531336,133,25,100
"Spec3_LevelNetWorth","d_recession_1991",-0.00211255863224056,0.00853401550147221,NA,NA,133,25,100
"Spec3_LevelNetWorth","d_apra_2014",0.00403778266550772,0.0048271688992523,-0.00206861607212875,0.00472892358694215,133,25,100
"Spec3_LevelNetWorth","d_apra_2017",-0.0095986034489731,0.00487026814390737,-0.0107199942810591,0.00523457828817292,133,25,100
"Spec3_LevelNetWorth","d_jobkeeper_2020",0.012843104784087,0.00726155768078176,0.0210064445028329,0.007112396675037,133,25,100
