"n_obs","se_pct","adj_r2","dw","lm_het_pval","lm_het_pval_no_events","het_diagnosis","ar1_pval","ar4_pval","chow_pval","reset_pval","schwarz","loglik","specification","period"
113,0.54900825794613,0.153065416910913,1.92475880302906,0.0567346664323531,0.0239901835920318,"structural",0.774148534220583,0.167230752459851,0.154756690151207,0.620088612928387,-825.014502707613,431.416802628656,"Spec1_LogNetWorth","precovid"
66,0.539424515053345,0.19473415396698,1.99456418600258,0.100771245192636,0.068853108631864,"structural",0.988953386283596,0.423510266722455,0.721653057686163,0.390301170974609,-475.942401421579,254.729819678895,"Spec2_LogNetWorth_CCI","precovid"
113,0.548487591075865,0.154671081922389,1.92762252198907,0.0534127476130027,0.0223758076320297,"structural",0.786933674493976,0.169439378269832,0.468743391324477,0.58115559421183,-825.228937635294,431.524020092497,"Spec3_LevelNetWorth","precovid"
113,0.519757437956941,0.240909530320188,1.97950280546059,0.0170695113381646,0.00810155826984733,"structural",0.975675224890235,0.217744004374965,0.840857920643066,0.792715122843467,-822.825422742742,439.777038283645,"Spec4_Disagg_NoCCI","precovid"
66,0.48573712843291,0.347049104115686,2.22550322663611,0.192844877699001,0.160986522870875,"structural",0.229543947096573,0.519361742100524,0.786111821397018,0.475935387498525,-468.788459586829,265.816640358612,"Spec5_FullDisagg","precovid"
66,0.489888479261416,0.33584052535529,2.23558437513219,0.247120178321576,0.211650006320793,"structural",0.211564251325942,0.36443565292794,0.779106108336266,0.651027199955496,-464.757054449402,265.895765160912,"Spec6_Preferred","precovid"
66,0.442578839427061,0.457925208762971,2.44787769518062,0.53250737161018,0.492353625610279,"structural",0.015958616031112,0.122060180647758,0.619286580607193,0.657791992181784,-469.595123734119,274.599281916311,"Spec7_CohortBurden","precovid"
