"term","ols_estimate","wls_estimate","diff"
"(Intercept)",0.0227084860736077,0.0228902353922762,0.0001817493186685
"nla_y",-0.00301725270817862,-0.00298220143042468,0.0000350512777539422
"eq_y",0.023657357275373,0.0237504270861235,0.0000930698107504506
"super_y",-0.00682742832906817,-0.00682183185025638,0.00000559647881179324
"ha_y",0.006065307271483,0.00615300743363481,0.0000877001621518159
"ln_hp_over_y",-0.0160413030683673,-0.0162250361800127,-0.000183733111645396
"real_rate",-0.0000749436803011616,-0.000081663949196286,-0.00000672026889512438
"ln_yp_over_y",-0.00485090331878136,-0.00486173287652549,-0.0000108295577441369
"ecm_lag",-0.125835487790125,-0.127434246755066,-0.00159875896494063
"d2000_gst",0.00204005648531079,0.00201853938885713,-0.0000215170964536562
"d2008_gfc",-0.0133482204334275,-0.0133311263885787,0.0000170940448487519
"d2020_covid",-0.144424379761398,-0.144530715831589,-0.000106336070190727
"d2020_rebound",0.0457505529882496,0.045378037550133,-0.000372515438116623
