"specification","equation","term","single_eq_ols","single_eq_se","sur_joint","sur_joint_se","delta_sur_minus_ols","pct_change","n_obs"
"Spec6_Preferred","consumption","(Intercept)",0.033763264578842,0.00996228022900579,0.035083471147017,0.00964415195900686,0.00132020656817507,3.91018636569399,133
"Spec6_Preferred","consumption","nla_y",-0.000089814603929091,0.0057257384800547,-0.00167944631734803,0.00563260903752773,-0.00158963171341894,1769.90338305557,133
"Spec6_Preferred","consumption","eq_y",0.0332380502128667,0.0239806906941379,0.0307124088008347,0.0229072648306173,-0.00252564141203195,-7.59864491405774,133
"Spec6_Preferred","consumption","super_y",-0.0113191947177311,0.0061199357412936,-0.0122267590193815,0.00586147539309555,-0.000907564301650326,8.01792286715112,133
"Spec6_Preferred","consumption","ha_y",0.00598824808784115,0.00449346989615057,0.00723228230627975,0.00428914942811081,0.0012440342184386,20.7745938409691,133
"Spec6_Preferred","consumption","ln_hp_over_y",-0.0155753326119149,0.00742000947990209,-0.0171664474290756,0.0070921551909429,-0.00159111481716079,10.2156073119339,133
"Spec6_Preferred","consumption","real_rate",-0.00119952365234573,0.000715328826349044,-0.00100138463305456,0.000686586294331711,0.000198139019291171,-16.5181419227291,133
"Spec6_Preferred","consumption","ln_yp_over_y",-0.011224347183123,0.0368511954385188,-0.00195053070817946,0.0354624328384777,0.0092738164749435,-82.6223238077284,133
"Spec6_Preferred","consumption","ln_yp_over_y_post2008",0.00890240607674161,0.0365379875453936,0.00101248560739551,0.0351802476239241,-0.0078899204693461,-88.6268319073792,133
"Spec6_Preferred","consumption","ln_y_over_c",0.139898254449268,0.0330168761127644,0.171169646486226,0.0320972297345554,0.0312713920369588,22.3529536948575,133
"Spec6_Preferred","consumption","d2_logcci_lag2",-0.0148844587013135,0.00772971759966763,-0.013499227927277,0.00736671444982273,0.00138523077403642,-9.30655794633755,133
"Spec6_Preferred","consumption","dd4_income",-0.0510915072129769,0.0393667250384454,0.00587486580512816,0.0379601073565744,0.0569663730181051,-111.49871304567,133
"Spec6_Preferred","consumption","d2_log_unemp",0.0028816061228275,0.0121178346509965,0.00330465997664307,0.0115748961473276,0.000423053853815572,14.6811824997256,133
"Spec6_Preferred","consumption","abs_income_resid",-0.279825792689245,0.0958620443869629,-0.271788801954767,0.0914210731791498,0.0080369907344775,-2.87214079061069,133
"Spec6_Preferred","consumption","d2000_gst",0.0122147198225809,0.0100731084178969,0.0171625547939351,0.00960995754692429,0.00494783497135422,40.5071507428877,133
"Spec6_Preferred","consumption","d2008_gfc",-0.0138413652945919,0.00943262536743017,-0.0153178547838941,0.00901156462294542,-0.00147648948930214,10.6672243516254,133
"Spec6_Preferred","consumption","d2020_covid",-0.137378063369934,0.010050661242507,-0.135716545905217,0.00958551120706862,0.0016615174647176,-1.20944889159154,133
"Spec6_Preferred","consumption","d2020_rebound",0.0503794110650167,0.011657365533568,0.0495237944673812,0.0111718707780036,-0.000855616597635521,-1.69834577171081,133
