"window_end","term","estimate","se","ci_low","ci_high"
2018-04-01,"ecm_lag",-0.112629537647164,0.113659329760686,-0.335401823978108,0.11014274868378
2018-04-01,"real_rate",0.000145374233285129,0.00159690807975258,-0.00298456560302993,0.00327531406960019
2018-04-01,"ln_yp_over_y",0.0656140617321491,0.2189744482174,-0.363575856773954,0.494803980238253
2018-04-01,"ln_networth_y",0.0350545389981309,0.0477153444740558,-0.0584675361710185,0.12857661416728
2018-07-01,"ecm_lag",-0.111329733706584,0.109369017509664,-0.325693008025525,0.103033540612357
2018-07-01,"real_rate",0.000103287496708309,0.00162123795084582,-0.00307433888694949,0.00328091388036611
2018-07-01,"ln_yp_over_y",0.0364232882074758,0.22638042681183,-0.40728234834371,0.480128924758662
2018-07-01,"ln_networth_y",0.0454966916451342,0.0525440272127382,-0.0574896016918327,0.148482984982101
2018-10-01,"ecm_lag",-0.0907948813725221,0.0937189908931574,-0.274484103523111,0.0928943407780665
2018-10-01,"real_rate",-0.000281463916266295,0.00139793270284165,-0.00302141201383592,0.00245848418130333
2018-10-01,"ln_yp_over_y",-0.0515090387313993,0.168018962409262,-0.380826205053552,0.277808127590754
2018-10-01,"ln_networth_y",0.069625325646222,0.0396833687251253,-0.00815407705502354,0.147404728347467
2019-01-01,"ecm_lag",-0.114809979747449,0.0740944853668528,-0.26003517106648,0.0304152115715828
2019-01-01,"real_rate",-0.00103073120085973,0.00111138327547072,-0.00320904242078235,0.00114758001906289
2019-01-01,"ln_yp_over_y",-0.096927674132271,0.126868562152584,-0.345590055951336,0.151734707686794
2019-01-01,"ln_networth_y",0.0935941864331868,0.0306624682956212,0.0334957485737693,0.153692624292604
2019-04-01,"ecm_lag",-0.114175647168773,0.0724691345476253,-0.256215150882118,0.0278638565445728
2019-04-01,"real_rate",-0.00103175702731677,0.00111815950986964,-0.00322334966666126,0.00115983561202773
2019-04-01,"ln_yp_over_y",-0.0971175614171145,0.122698051219142,-0.337605741806633,0.143370618972404
2019-04-01,"ln_networth_y",0.0933577330948527,0.030530401366728,0.0335181464160658,0.15319731977364
2019-07-01,"ecm_lag",-0.103095776327477,0.0684396763936846,-0.237237542059099,0.0310459894041445
2019-07-01,"real_rate",-0.00115312794339878,0.00113435014481722,-0.00337645422724053,0.00107019834044298
2019-07-01,"ln_yp_over_y",-0.111129962134973,0.117049249842277,-0.340546491825836,0.118286567555891
2019-07-01,"ln_networth_y",0.0972452608803612,0.0320300112560547,0.0344664388184939,0.160024082942228
2019-10-01,"ecm_lag",-0.101740909377671,0.0670653796868725,-0.233189053563941,0.029707234808599
2019-10-01,"real_rate",-0.00137439510257338,0.00117096444323928,-0.00366948541132237,0.000920695206175613
2019-10-01,"ln_yp_over_y",-0.115046330849516,0.110617400242832,-0.331856435325467,0.101763773626436
2019-10-01,"ln_networth_y",0.100020410619373,0.0325573091961955,0.0362080845948297,0.163832736643916
2020-01-01,"ecm_lag",-0.00311049324086262,0.0924708174764602,-0.184353295494725,0.178132309012999
2020-01-01,"real_rate",-0.000977896062117485,0.00129881175266094,-0.00352356709733292,0.00156777497309795
2020-01-01,"ln_yp_over_y",-0.213252763670966,0.137506209664883,-0.482764934614136,0.0562594072722042
2020-01-01,"ln_networth_y",0.098652152079034,0.0330461658818376,0.0338816669506324,0.163422637207436
2020-04-01,"ecm_lag",-0.00825496324664415,0.094530682129928,-0.193535100221303,0.177025173728015
2020-04-01,"real_rate",-0.00130725437128789,0.00138244041253171,-0.00401683757985005,0.00140232883727427
2020-04-01,"ln_yp_over_y",-0.183699442679303,0.134955560628019,-0.448212341510221,0.080813456151615
