n_obs,se_pct,adj_r2,dw,lm_het_pval,ar1_pval,ar4_pval,chow_pval,reset_pval,schwarz,loglik,specification
68,1.8067238115371458,0.1825267190956923,2.1647548974353037,0.19928265577204016,0.3413653765665042,1.0807376583186843e-10,0.032063246601492845,0.37275194698050973,-329.62627535641536,179.58141464632405,Spec1_LogNetWorth
66,1.8052566838580604,0.1723609104071544,2.209260285265797,0.07032334047955464,0.2787388268766066,9.519640599463867e-11,0.025278516524128603,0.7875191465854763,-316.4923137858372,175.0047758610243,Spec2_LogNetWorth_CCI
68,1.8016378159032436,0.18712267728077092,2.1554427322147425,0.21171498075842748,0.3646440476544954,1.1545063441676847e-10,0.02682748663935497,0.4566645211354967,-330.00966035808176,179.77310714715725,Spec3_LevelNetWorth
66,1.805133146972842,0.1724741801241546,2.1912742799201532,0.6527429521768513,0.329070836935327,7.65064161838902e-11,0.16242251872902103,0.21839518635673583,-310.3981252233821,176.1473363218232,Spec4_NFA_Housing
40,1.2783080480809004,0.6878032563169887,1.90669837030737,0.7630238421062655,0.5896356654478585,0.021290857874023576,NA,0.2024186305741148,-192.97761716561632,127.84428394277661,Spec5_FullDisagg
40,1.2783080480809004,0.6878032563169887,1.90669837030737,0.7630238421062655,0.5896356654478585,0.021290857874023576,NA,0.2024186305741148,-192.97761716561632,127.84428394277661,Spec6_Preferred
