"term","ols_williams","t_williams","sign_ok_williams","ols_kalman","t_kalman","sign_ok_kalman","diff_abs"
"(Intercept)",-0.0339398943892133,-2.43321953520877,NA,-0.0177838463237112,-0.58664622682969,NA,0.0161560480655021
"abs_income_resid",-0.175537165414484,-0.925460216847071,NA,-0.215901670595631,-0.923612546386358,NA,-0.040364505181147
"d2000_gst",0.0153524457803941,1.57362224064445,NA,0.0118175319732857,1.10789581544875,NA,-0.0035349138071084
"d2008_gfc",-0.00802293922617468,-3.53173044523771,NA,-0.0132922517817385,-5.50590275607856,NA,-0.00526931255556382
"d2020_covid",-0.149060471461551,-13.9665266733036,NA,-0.157443340116727,-17.8145109407738,NA,-0.00838286865517601
"d2020_rebound",0.0464943345638266,3.60670870908904,NA,0.0361282878243589,3.25615290542693,NA,-0.0103660467394677
"d2_log_unemp",0.0132201855391719,0.742292497512263,NA,0.0149823008935874,0.878564283170434,NA,0.0017621153544155
"d_apra_2014",-0.0174500995081515,-1.97060274551374,NA,0.00012791977391948,0.0268592355941487,NA,0.017578019282071
"d_apra_2017",-0.00077388575768277,-0.237537690568657,NA,-0.00714207725992669,-1.68119032536553,NA,-0.00636819150224392
"d_jobkeeper_2020",0.0351945078796517,4.49492463315229,NA,0.0212182039535293,2.52891882930596,NA,-0.0139763039261224
"dd4_income",-0.0742421465443534,-1.33627465284841,NA,-0.061449113487153,-1.31029417787692,NA,0.0127930330572004
"ecm_lag",-0.120846191467638,-2.2197365927183,TRUE,-0.120683730378933,-2.22502482901379,TRUE,0.000162461088705004
"eq_y",0.0453975130673366,2.37897631669094,TRUE,0.0320819525799403,1.67470092637011,TRUE,-0.0133155604873963
"ha_y",0.00950401454044186,2.06722432238735,TRUE,0.00498644472956684,1.09462608262933,TRUE,-0.00451756981087502
"hp_x_1_minus_cci",0.00090286692917895,2.28891358715987,NA,-0.00236764882728934,-0.893209071842192,NA,-0.00327051575646829
"ln_yp_over_y",-0.0271611574932947,-1.80413168355831,NA,0.012745168351384,0.633560800563302,NA,0.0399063258446787
"nla_y",0.0412727209518975,2.46959431669561,TRUE,0.00737462403217922,0.398741472311243,TRUE,-0.0338980969197183
"r_x_cci",0.00026797374566755,2.05351956264978,NA,0.00176975546746412,1.29725735965808,NA,0.00150178172179657
"super_y",0.00705428346482404,0.826301989952794,TRUE,-0.0100792130420294,-1.36110218221879,FALSE,-0.0171334965068534
"yp_x_cci",-0.0399281224940578,-1.66602305884994,NA,-0.048499032797352,-0.762627442751898,NA,-0.0085709103032942
