"variant","n_candidates","n_aliased","n_violators","n_surviving","n_obs","lambda","adj_r2","surviving","dropped","aliased"
"williams_2009",3,1,2,0,133,-0.0682082249600894,0.727169105914394,"","1992_01, 1998_01","1979_01"
"williams_2010",4,1,2,1,133,-0.0761261645406433,0.730624262025003,"2007_01","1992_01, 1998_01","1979_01"
"six_with_macropru",6,1,3,2,133,-0.079323398672897,0.728452266192291,"2007_01, 2017_03","1992_01, 1998_01, 2014_12","1979_01"
"eight_full_australia",8,2,5,1,133,-0.0761261645406433,0.730624262025003,"2007_01","1992_01, 1998_01, 2014_12, 2017_03, 2019_09","1979_01, 1986_01"
"australia_within_sample",5,0,3,2,133,-0.079323398672897,0.728452266192291,"2007_01, 2017_03","1992_01, 1998_01, 2014_12",""
"australia_within_sample_plus",7,0,5,2,133,-0.0763289795066997,0.728350619228698,"1990_09, 2007_01","1992_01, 1998_01, 2014_12, 2017_03, 2019_09",""
"maximal_gets",15,3,7,5,133,-0.126499451346561,0.734007505084176,"1992_01, 2007_09, 2019_01, 2020_04, 2021_12","1990_09, 1993_01, 1998_09, 2008_12, 2014_12, 2017_03, 2019_09","1979_01, 1986_01, 2009_01"
