"specification","term","ols_estimate","ols_se","iv_estimate","iv_se","delta_iv_minus_ols","pct_change","n_obs","n_instruments"
"Spec6_Preferred","(Intercept)",-0.180936357166906,0.063359904504023,-0.22223775362116,0.0804536666053295,-0.0413013964542538,22.8264772768444,86,6
"Spec6_Preferred","nla_y",0.040679327308918,0.0270856459840243,0.0433902234906901,0.0275267476718144,0.00271089618177211,6.66406344722866,86,6
"Spec6_Preferred","eq_y",0.0442457583330399,0.0309038570997855,0.0647212459455155,0.0394797021387096,0.0204754876124756,46.2767243322076,86,6
"Spec6_Preferred","super_y",0.0124672575291844,0.0147108761771627,0.0148624098718524,0.0151162497639056,0.00239515234266799,19.211541408054,86,6
"Spec6_Preferred","ha_y",0.0147836267158771,0.00544681439235346,0.0162253920035846,0.00575589741551707,0.00144176528770752,9.75244651002391,86,6
"Spec6_Preferred","ln_hp_over_y",-0.0310034456393675,0.0117510860057448,-0.0360721443122839,0.0132882012027833,-0.00506869867291639,16.348823714227,86,6
"Spec6_Preferred","real_rate",-0.000689421462372736,0.00117953352237961,-0.000485490947519392,0.00121474549500756,0.000203930514853344,-29.5799486937192,86,6
"Spec6_Preferred","ln_yp_over_y",-0.20133157436655,0.0853529058040609,-0.296518539625305,0.141697465706306,-0.0951869652587552,47.2787070573715,86,6
"Spec6_Preferred","ln_yp_over_y_post2008",0.203895941697143,0.0856425244919466,0.299334955970697,0.142111718639439,0.0954390142735539,46.8077066562288,86,6
"Spec6_Preferred","ecm_lag",-0.0524771691991194,0.0524267208463257,-0.0407066294777759,0.054716317115411,0.0117705397213435,-22.4298297735561,86,6
"Spec6_Preferred","d2_logcci_lag2",-0.0463268467551706,0.01208084257427,-0.048663192369999,0.0125028566605078,-0.00233634561482842,5.04317858535809,86,6
"Spec6_Preferred","dd4_income",-0.0725285992094832,0.0585713576031539,-0.080770488863129,0.0599177200759342,-0.00824188965364581,11.3636410236476,86,6
"Spec6_Preferred","d2_log_unemp",0.0189936446623023,0.0142244884258819,0.0204805620214285,0.0144650308362771,0.00148691735912624,7.82849940368428,86,6
"Spec6_Preferred","abs_income_resid",-0.566736073058014,0.135141654131424,-0.594693065012865,0.140353656914512,-0.0279569919548511,4.93298261464103,86,6
"Spec6_Preferred","d2008_gfc",-0.024930969900547,0.0104420802908952,-0.0298286305516737,0.0120248431256096,-0.00489766065112677,19.6448861422729,86,6
"Spec6_Preferred","d2020_covid",-0.155446461225263,0.0131353518856566,-0.154610792524036,0.0132952705184565,0.000835668701227088,-0.53759261847466,86,6
"Spec6_Preferred","d2020_rebound",0.0515715452098666,0.0139817469670606,0.0549569807504492,0.0146690833480333,0.00338543554058255,6.56454160294357,86,6
"Spec6_Preferred","d_apra_2014",-0.0162700496833175,0.00819046885316489,-0.0199257161252674,0.00932816052339252,-0.00365566644194992,22.4686864091034,86,6
"Spec6_Preferred","d_apra_2017",-0.0101880211284019,0.00690812873776983,-0.0112057767669797,0.0070759002259714,-0.00101775563857782,9.98972838543253,86,6
"Spec6_Preferred","d_jobkeeper_2020",0.0288943612484116,0.00876953410985419,0.0301124309769709,0.00896807373795047,0.00121806972855929,4.21559666291723,86,6
