"specification","n_obs","aic","bic","adj_r2","sigma","residual_box_p","sign_score","adjustment_ok","admissible"
"with_income",92,-581.556690757712,-566.425959295418,0.997270131698789,0.00988388244676213,0,3,TRUE,FALSE
"with_income_and_rates",92,-580.246846980801,-562.594326941457,0.997259028304182,0.00990396277083007,0,3,TRUE,FALSE
"with_all",92,-577.279120781355,-554.583023587914,0.997225078048949,0.00996511029595505,0,3,TRUE,FALSE
"with_rates",92,-495.15831537033,-480.027583908035,0.993017785412016,0.0158071407279666,0.00000000329221083728015,3,TRUE,FALSE
"base",92,-481.487430326016,-468.878487440771,0.991815246012643,0.0171143156935517,0.00000000282719703204037,3,TRUE,FALSE
"with_cashflow",92,-480.687247647797,-465.556516185503,0.991828435718702,0.0171005202997607,0.00000000225190321945234,3,TRUE,FALSE
"with_unemployment",92,-479.891175917223,-464.760444454928,0.991757420750676,0.017174665582313,0.00000000208957517955355,3,TRUE,FALSE
