"date","cci_step_1983","cci_step_1992","cci_step_1998","cci_step_2007","cci_regime_component","cci_indicator_component","cci_institutional_raw","credit_conditions_index","credit_conditions_spline"
1989-09-01,0.938056125941136,0,0,0,1.33146300414674,-1.05211470669694,0.714166241044496,-0.714166241044496,0.0269718237331271
1989-12-01,0.969199178644764,0,0,0,1.42638906819172,-3.36285903309752,-0.358867584647446,0.358867584647446,0.142783088918503
1990-03-01,1,0,0,0,1.52027198867576,-0.951122516429892,0.941213753067474,-0.941213753067474,0.25831265211723
1990-06-01,1,0,0,0,1.52027198867576,0.330772214991902,1.58564882198657,-1.58564882198657,0.373278811342774
1990-09-01,1,0,0,0,1.52027198867576,-0.066769533530123,1.38579633969822,-1.38579633969822,-0.374787479104256
1990-12-01,1,0,0,0,1.52027198867576,0.372021562534323,1.60638572453776,-1.60638572453776,-0.442534511697529
1991-03-01,1,0,0,0,1.52027198867576,-0.0371407753330679,1.40069133096597,-1.40069133096597,-0.510070838831975
1991-06-01,1,0,0,0,1.52027198867576,-0.501547100002696,1.16722463942805,-1.16722463942805,-0.576810152399881
1991-09-01,1,0,0,0,1.52027198867576,0.187584475123474,1.51366537533637,-1.51366537533637,-0.642166144293599
1991-12-01,1,0.099780701754386,0,0,1.31751324661478,-0.462828598202008,0.997388758336035,-0.997388758336035,-0.705552506405463
1992-03-01,1,0.199561403508772,0,0,1.1147545045538,-0.202760457366929,0.938829931739854,-0.938829931739854,-0.766382930627819
1992-06-01,1,0.300438596491228,0,0,0.909767644448198,-0.401962836554108,0.647306064122357,-0.647306064122357,-0.824071108852989
1992-09-01,1,0.401315789473684,0,0,0.704780784342593,-0.779646055336793,0.266056176617176,-0.266056176617176,-0.87803073297332
1992-12-01,1,0.50109649122807,0,0,0.502022042281614,-0.783672087202225,0.0747317318983426,-0.0747317318983426,-0.927675494881144
1993-03-01,1,0.599780701754386,0,0,0.30149141826526,-0.489416197107836,0.0354400209336858,-0.0354400209336858,-0.972419086468798
1993-06-01,1,0.700657894736842,0,0,0.0965045581596552,-0.0979315103308584,0.0408667926577117,-0.0408667926577117,-1.01167519962862
1993-09-01,1,0.801535087719298,0,0,-0.10848230194595,-0.0834900910734565,-0.143253906353213,0.143253906353213,-1.04485752625294
1993-12-01,1,0.901315789473684,0,0,-0.311241044006929,-0.0919887869871964,-0.336826852055451,0.336826852055451,-1.07137975823409
1994-03-01,1,1,0,0,-0.511771668023282,-0.449436927347627,-0.703743695947514,0.703743695947514,-1.09065558746442
1994-06-01,1,1,0,0,-0.511771668023282,-0.553926765916534,-0.756272904991702,0.756272904991702,-1.10209870583626
1994-09-01,1,1,0,0,-0.511771668023282,-0.598700618067732,-0.778781649110518,0.778781649110518,-1.10512280524194
1994-12-01,1,1,0,0,-0.511771668023282,-1.10696975517465,-1.03429908620744,1.03429908620744,-1.09914157757381
1995-03-01,1,1,0,0,-0.511771668023282,-1.06988638233796,-1.01565650554619,1.01565650554619,-1.08356871472419
1995-06-01,1,1,0,0,-0.511771668023282,-0.955283198490312,-0.958043108072209,0.958043108072209,-1.05781790858543
1995-09-01,1,1,0,0,-0.511771668023282,-0.844954226892581,-0.902578445746545,0.902578445746545,-1.02130285104985
1995-12-01,1,1,0,0,-0.511771668023282,-0.868731043160125,-0.914531544432781,0.914531544432781,-0.973409244327467
1996-03-01,1,1,0,0,-0.511771668023282,-1.12456364161022,-1.04314389782867,1.04314389782867,-0.913410831898947
1996-06-01,1,1,0,0,-0.511771668023282,-1.21984629017572,-1.09104446149429,1.09104446149429,-0.840553367562628
1996-09-01,1,1,0,0,-0.511771668023282,-1.35321792097478,-1.15809314652205,1.15809314652205,-0.754190824247478
1996-12-01,1,1,0,0,-0.511771668023282,-0.977036127242782,-0.968978756527711,0.968978756527711,-0.654935222276014
1997-03-01,1,1,0,0,-0.511771668023282,-0.576344530392528,-0.767542780154599,0.767542780154599,-0.544210225450458
1997-06-01,1,1,0.025828186412128,0,-0.441792998206209,-0.64438639482272,-0.736415054722325,0.736415054722325,-0.423453024964365
1997-09-01,1,1,0.051656372824256,0,-0.371814328389135,-0.142379447482381,-0.418711968384134,0.418711968384134,-0.294100812011289
1997-12-01,1,1,0.0772038180797305,0,-0.302596296287465,0.0809966248041829,-0.241792551746881,0.241792551746881,-0.157590777784781
1998-03-01,1,1,0.102470522178551,0,-0.234138901901197,0.417652276418873,-0.00863529088360522,0.00863529088360524,-0.0153601134783957
1998-06-01,1,1,0.128298708590679,0,-0.164160232084123,0.704562753120866,0.200934338406725,-0.200934338406725,0.131153989714313
1998-09-01,1,1,0.154126895002807,0,-0.0941815622670498,0.368720751518551,0.0974333805120572,-0.0974333805120572,0.280514340599791
1998-12-01,1,1,0.179674340258282,0,-0.024963530165379,0.148768007270567,0.0514822061138142,-0.0514822061138142,0.431283747984488
1999-03-01,1,1,0.204941044357103,0,0.0434938642208884,-0.159651951933617,-0.0396534219210597,0.0396534219210597,0.582025020674848
1999-06-01,1,1,0.230769230769231,0,0.113472534037962,-0.0706522100304008,0.0704223761726794,-0.0704223761726794,0.731300967477317
1999-09-01,1,1,0.256597417181359,0,0.183451203855036,0.267801516384354,0.305903866138275,-0.305903866138275,0.877674397198344
1999-12-01,1,1,0.282144862436833,0,0.252669235956706,0.599637250272614,0.537348204195329,-0.537348204195329,1.01970811864438
2000-03-01,1,1,0.307692307692308,0,0.321887268058377,0.779482481892256,0.692383764367879,-0.692383764367879,1.15596494062186
2000-06-01,1,1,0.333520494104436,0,0.39186593787545,0.737730832486874,0.736728126171395,-0.736728126171395,1.28500767193723
