"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.00515522959975444,0.00113261906545261,4.55160058399188,0.0000171822595315438
"ecm_lag_mc",-0.0312882762450163,0.0147579250557013,-2.12009995490043,0.0368451752473887
"d_lhouse_ratio",0.264938041056208,0.0518002503375269,5.11460927948978,0.00000185172398428002
"d_cci",0.0113262480841767,0.00522254554709415,2.16872174345682,0.0328325624756518
"d_lgdi",-0.723294614817959,0.054390183769545,-13.2982564994193,0.000000000000000000000113750168995541
