"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.00330303057939632,0.00811404184511838,-0.407075862122095,0.685096517448933
"ecm_lag",-0.258308983664785,0.0892457239751972,-2.89435697486832,0.0049563601841302
"d_lgdi",1.29666754575023,1.2952026205525,1.00113103940224,0.319940369222677
"d_lgdi_lag",-0.14020094225924,0.271824008831221,-0.515778362853492,0.607506480245284
"d_lcons_lag",-0.142704189724311,0.0807525056930692,-1.76717971163289,0.081212564653546
"d_log_y_yp",-1.06895873688041,1.24527026535633,-0.858415049824167,0.393362564691531
"d_hw_ratio",-0.00125711161705705,0.00276324775783842,-0.454939884956403,0.650449408493018
"d_ifw_ratio",0.00332206075282241,0.00217501919145325,1.52737077717588,0.130820181466764
"d_liquid_assets_ratio",-0.0308039189278901,0.014280033994528,-2.15713204462216,0.0341563373043686
"d_debt_ratio",-0.00190695018389347,0.010561907861261,-0.180549784086621,0.857201562698783
"d_u",-0.0422240734140498,0.004206422187639,-10.0380017816874,0.00000000000000140680065017694
"d_cci_spline",0.327577920515858,0.109632708466888,2.98795792876718,0.00378033736278744
"d_cci_spline_x_log_y_yp",-0.393816570203634,0.223321191103898,-1.7634536528171,0.0818432839986968
"d_cci_spline_x_hw_ratio",-0.00314798829755868,0.00149695128328492,-2.10293302975813,0.0387819444696836
"d_cci_spline_x_u",-0.029600868542555,0.00635757130083759,-4.65600260568925,0.0000134223514468908
"d_house_prices",-0.014442626093287,0.126178141226333,-0.114462187768169,0.909173277774955
