"specification","step_order","n_obs","aic","bic","adj_r2","sigma","adf_stat","adf_1pct","adf_5pct","adf_10pct","adf_reject_5pct","ecm_n_obs","ecm_adj_r2","ecm_sigma","speed_of_adjustment"
"step1_textbook_log_net_worth",1,134,-451.061383473966,-439.470024274162,0.587122540010171,0.0441336431212954,-1.57820366500167,-3.46,-2.88,-2.57,FALSE,132,0.44654376259982,0.0125526321875684,-0.0290618483024847
"step2_add_short_run_cci",2,134,-451.061383473966,-439.470024274162,0.587122540010171,0.0441336431212954,-1.57820366500167,-3.46,-2.88,-2.57,FALSE,132,0.457016623023437,0.0124333004204306,-0.0569919298205439
"step3_level_net_worth",3,134,-455.724207466919,-444.132848267116,0.601242426145518,0.0433724209522977,-1.81922641685241,-3.46,-2.88,-2.57,FALSE,132,0.461202127085917,0.0123852876221635,-0.0616948600039023
"step4_split_housing_net_financial",4,134,-496.243864651167,-478.856825851462,0.709529413723049,0.0370177716718153,-1.24951216746885,-3.46,-2.88,-2.57,FALSE,132,0.483247505811352,0.0121292640637776,-0.0600635617526437
"step5_split_liquid_illiquid_debt",5,134,-662.430410565479,-639.247692165872,0.917146102393234,0.0197704094310498,-3.12984250792903,-3.46,-2.88,-2.57,TRUE,132,0.522182811823797,0.0116633697690261,-0.24063989069339
"step6_post_gfc_shift",6,134,-674.605010889974,-648.524452690416,0.924871245600543,0.0188261834337669,-3.50443742376545,-3.46,-2.88,-2.57,TRUE,132,0.542295027135116,0.0114152644202965,-0.231163940371266
