"variant","n_obs","aic","bic","adj_r2","sigma","ecm_coef","unemployment_coef","cci_coef"
"base",136,-807.643812151168,-781.429918179543,0.484882723239307,0.0119852156967901,-0.0099013492279689,-0.205296618492027,-0.00934389259833003
"with_crisis_dummies",136,-819.12576334756,-784.173904718727,0.53614715180127,0.0113732061222678,-0.00976250970323806,-0.184246890782952,-0.0098559767152425
"pre_gfc",67,-485.165073782362,-465.322840207843,0.0430872892366966,0.0060341264474238,0.00195571544327232,-0.059553610868986,-0.00169487736694684
"post_gfc",69,-378.141994887443,-358.035036346068,0.580221225903627,0.014582743828624,-0.0171462514895447,-0.222250087124321,-0.0223898666957781
