"term","estimate","std.error","statistic","p.value"
"(Intercept)",2.75382651564332,0.038647891877067,71.254249116687,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211116102558352
"log_disposable_permanent_income_ratio",-0.0753452240801851,0.0805254105170643,-0.935670164192688,0.351126206265719
"housing_wealth_income_ratio",0.00183561731146761,0.0009055752859325,2.02701789678085,0.0446441340380086
"illiquid_financial_income_ratio",-0.00302498694447275,0.0018781887915535,-1.61058726262055,0.109622851688608
"liquid_assets_income_ratio",-0.104807494548688,0.00474344185983123,-22.0952417349575,0.000000000000000000000000000000000000000000000162965656031649
"debt_income_ratio",0.0150055360550404,0.00476561893345974,3.14870665585231,0.00202215434631053
"unemployment_rate",-0.0192070965903853,0.00320442425551233,-5.99393059684429,0.0000000178733702470929
"credit_conditions_spline",0.0166547219959153,0.0324311331012944,0.513541168725016,0.608418537349153
"cci_spline_x_log_disposable_permanent_income_ratio",-0.0899668669590839,0.0569617858802194,-1.57942497007149,0.1165963161773
"cci_spline_x_housing_wealth_income_ratio",0.000522449437093415,0.000546461120023558,0.95605966819907,0.34076373280228
"cci_spline_x_unemployment_rate",-0.00854382735245073,0.00343142246944565,-2.48987917650111,0.0140021032751842
