"specification","n_obs","aic","bic","adj_r2","sigma","adf_stat","adf_1pct","adf_5pct","adf_10pct","adf_reject_5pct","variant","response_var","credit_coef","credit_spline_coef","income_expectations_coef"
"base",141,-137.974504680229,-108.486905776447,0.799625153294613,0.142822478597552,-3.38644867183986,-3.46,-2.88,-2.57,TRUE,"base","lcons_income_ratio",0.0381725495691578,NA,-0.0183939978052012
"adaptive_income",141,-238.789550472879,-209.301951569098,0.901978237423914,0.0998932672291921,-3.57465414290748,-3.46,-2.88,-2.57,TRUE,"adaptive_income","lcons_income_ratio",-0.0359810098916156,NA,-0.937525650233103
"spline_cci",141,-280.427616916452,-250.94001801267,0.927041988892832,0.0861809857503577,-4.72984248225142,-3.46,-2.88,-2.57,TRUE,"spline_cci","lcons_income_ratio",NA,-0.124243991031238,-0.0174920650125098
"pre_gfc",72,-261.380537228112,-238.613876037951,0.975497658397101,0.0366550399131241,-1.0844201569451,-3.51,-2.89,-2.58,FALSE,"pre_gfc","lcons_income_ratio",0.0702722728631641,NA,0.0110118178085143
"post_gfc",69,-137.44132297472,-115.100257928748,0.954868178374839,0.0829152137807047,-1.36853807472373,-3.51,-2.89,-2.58,FALSE,"post_gfc","lcons_income_ratio",0.0405932231388897,NA,-0.0348950506895876
