"specification","n_obs","aic","bic","adj_r2","sigma","adf_stat","adf_1pct","adf_5pct","adf_10pct","adf_reject_5pct","sign_score","admissible"
"house_price_rate_interaction",93,22.3394644995368,40.0676609516096,0.672409532481945,0.261647522408961,-3.72308448468853,-3.51,-2.89,-2.58,TRUE,4,TRUE
"house_price_core",93,30.2115324397458,45.4071293986654,0.639862167591635,0.27433762334651,-3.81723722910851,-3.51,-2.89,-2.58,TRUE,4,TRUE
"house_price_credit_only",93,34.8600481677644,47.5230456335307,0.617519876522233,0.282719285245617,-3.64661596646668,-3.51,-2.89,-2.58,TRUE,4,TRUE
