"specification","n_obs","aic","bic","adj_r2","sigma","residual_box_p","sign_score","adjustment_ok","admissible"
"with_all",88,-460.466675709733,-438.17064437943,0.992805578363726,0.016741843396066,0.000944023408754435,0,FALSE,FALSE
"with_income",88,-437.494908003143,-425.108223930752,0.990257792890734,0.0194820211707665,0.00000108777071239352,0,FALSE,FALSE
"with_income_and_frenzy",88,-435.019846000272,-417.678488298924,0.99019162703305,0.0195480669515257,0.00000106741118677256,0,FALSE,FALSE
"with_cci",88,-74.1042615922316,-61.7175775198406,0.394589428563811,0.153578468355738,0.00123828874788146,1,TRUE,FALSE
"with_momentum",88,-37.3485513929838,-24.9618673205928,0.0807249380091838,0.189246593736927,0.0000137923109093663,1,TRUE,FALSE
"base",88,-32.4676893596176,-22.5583421017048,0.0176550302417837,0.195630851289425,0.00000606410559578219,1,TRUE,FALSE
"with_frenzy",88,-36.0123855151968,-21.1483646283276,0.0766410952490412,0.189666488131116,0.0000150378907439741,1,TRUE,FALSE
