"date","cons_real","cons_nom","ydi_nom","gdp_nom","pop_millions","unemp_rate","hicp","mortgage_rate","hpi","fin_deposits","fin_debtsec","fin_loans","fin_equity","fin_mutfund","fin_inspen","fin_total_asset","fin_total_liab","cons_deflator","ydi_real","cons_real_pc","ydi_real_pc","fin_deposits_real","fin_deposits_real_pc","fin_debtsec_real","fin_debtsec_real_pc","fin_loans_real","fin_loans_real_pc","fin_equity_real","fin_equity_real_pc","fin_mutfund_real","fin_mutfund_real_pc","fin_inspen_real","fin_inspen_real_pc","fin_total_asset_real","fin_total_asset_real_pc","fin_total_liab_real","fin_total_liab_real_pc","fin_net_real","fin_net_real_pc","ln_cons_real_pc","ln_ydi_real_pc","d_ln_cons_pc","d_ln_ydi_pc","ln_hpi","ln_fin_loans","gdp_nom_8qma","cci_ratio"
1980-01-01,NA,NA,NA,NA,56.38848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9440.04319851888,NA,6319.53455753356,NA,1030.1385248103,NA,28467.497464232,NA,25464.5336270384,NA,947.323602805836,NA,39073.4345639099,NA,1820.22075706625,2228655.97166328,40793.5580328152,NA,NA,NA,NA,NA,NA,NA,NA
1980-04-01,NA,NA,NA,NA,56.4162094592817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9494.71862239683,NA,6366.30138044499,NA,1051.9949866644,NA,28406.8306012033,NA,25159.6017347778,NA,970.950339288562,NA,39278.3699921965,NA,1854.97139364597,2236117.64287302,40908.156351861,NA,NA,NA,NA,NA,NA,NA,NA
1980-07-01,NA,NA,NA,NA,56.4406700487548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9549.71071876381,NA,6413.41429462395,NA,1074.31517734067,NA,28346.2930248557,NA,24858.3213313009,NA,995.166338695985,NA,39484.3802819647,NA,1890.385469942,2243604.29619662,41023.0766034707,NA,NA,NA,NA,NA,NA,NA,NA
1980-10-01,NA,NA,NA,NA,56.4618630612057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9605.02132174306,NA,6460.87586126998,NA,1097.10893577928,NA,28285.8844596676,NA,24560.648690875,NA,1019.98629754765,NA,39691.4710707328,NA,1926.47565197432,2251116.01527567,41138.3196920256,NA,NA,NA,NA,NA,NA,NA,NA
1981-01-01,NA,NA,NA,NA,56.479285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9660.65227608079,NA,6508.68866053643,NA,1120.38630967331,NA,28225.6046307041,NA,24266.5406113733,NA,1045.42527890183,NA,39899.6480255869,NA,1963.25484757547,2258652.88403179,41253.8865244476,NA,NA,NA,NA,NA,NA,NA,NA
1981-04-01,NA,NA,NA,NA,56.4927272517007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9716.60543720775,NA,6556.85529167068,NA,1144.15755989788,NA,28165.4532636166,NA,23975.9544080043,NA,1071.49872149719,NA,40108.9168433365,NA,2000.73621100714,2266214.98666757,41369.7780102063,NA,NA,NA,NA,NA,NA,NA,NA
1981-07-01,NA,NA,NA,NA,56.5037983421058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9772.88267130107,NA,6605.37837315552,NA,1168.43316503321,NA,28105.4300846409,NA,23688.847907117,NA,1098.22244912248,NA,40319.2832506703,NA,2038.93314766478,2273802.40766754,41485.9950613263,NA,NA,NA,NA,NA,NA,NA,NA
1981-10-01,NA,NA,NA,NA,56.5138141572095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9829.48585534653,NA,6654.2605428514,NA,1193.22382598371,NA,28045.5348205963,NA,23405.1794400802,NA,1125.61268021984,NA,40530.7530043125,NA,2077.85931887218,2281415.23179906,41602.5385923943,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-01,NA,NA,NA,NA,56.524064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9886.41687720115,NA,6703.50445813991,NA,1218.54047069499,NA,27985.7671988843,NA,23124.9078372348,NA,1153.68603772766,NA,40743.3318911808,NA,2117.52864676748,2289053.54411331,41719.4095205662,NA,NA,NA,NA,NA,NA,NA,NA
1982-04-01,NA,NA,NA,NA,56.535205958932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9943.67763565614,NA,6753.11279606822,NA,1244.39425897101,NA,27926.1269474873,NA,22847.9924219188,NA,1182.45955916897,NA,40957.0257285445,NA,2157.9553192825,2296717.42994622,41836.6087655743,NA,NA,NA,NA,NA,NA,NA,NA
1982-07-01,NA,NA,NA,NA,56.546515645772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10001.2700405003,NA,6803.08825349461,NA,1270.79658739347,NA,27866.6137949675,NA,22574.393004564,NA,1211.95070699134,NA,41171.8403641839,NA,2199.1537952171,2304406.97491944,41954.1372497348,NA,NA,NA,NA,NA,NA,NA,NA
1982-10-01,NA,NA,NA,NA,56.5563800173175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10059.1960125835,NA,6853.43354723507,NA,1297.75909434544,NA,27807.2274704653,NA,22304.0698768628,NA,1242.17737916474,NA,41387.78167655,NA,2241.13880941046,2312122.26494128,42071.9958979549,NA,NA,NA,NA,NA,NA,NA,NA
