"term","estimate","std.error","statistic","p.value","specification","equation"
"d_log_y_yp",0.150464064985558,0.68248287228342,0.220465701186233,0.825874002163905,"step1_textbook_log_net_worth","ecm"
"d_log_net_worth_income_ratio",0.0198993882687986,0.0626149388700592,0.31780576054054,0.751171183538511,"step1_textbook_log_net_worth","ecm"
"d_u",-0.028987241913341,0.00323624668038687,-8.95705574269627,0.00000000000000437343075789807,"step1_textbook_log_net_worth","ecm"
"d_house_prices",0.0252119402102168,0.0704154104439389,0.358045775083413,0.720922773751871,"step1_textbook_log_net_worth","ecm"
"(Intercept)",0.00296143937258435,0.00277420758628018,1.0674901861094,0.287858342656394,"step2_add_short_run_cci","ecm"
"ecm_lag",-0.0569919298205439,0.0318969660730797,-1.7867508053891,0.0764612088620641,"step2_add_short_run_cci","ecm"
"d_lgdi",-0.114957938460311,0.679707769294746,-0.169128474990935,0.86597568914087,"step2_add_short_run_cci","ecm"
"d_lgdi_lag",0.0415694366786696,0.0818778604046145,0.50770057343031,0.612579978642747,"step2_add_short_run_cci","ecm"
"d_lcons_lag",-0.2562795662707,0.0745460551723746,-3.43786892114007,0.000802625555237188,"step2_add_short_run_cci","ecm"
"d_log_y_yp",0.0941345139497335,0.676690407626323,0.139110164543245,0.889592470754927,"step2_add_short_run_cci","ecm"
"d_log_net_worth_income_ratio",0.00280841903265628,0.0627140944273376,0.0447813056745991,0.964354841249754,"step2_add_short_run_cci","ecm"
"d_cci",0.0806891556125485,0.0439386840006811,1.83640355754164,0.0687324625028251,"step2_add_short_run_cci","ecm"
"d_u",-0.0269255400034035,0.00339639966764154,-7.92767125139327,0.00000000000119627262482028,"step2_add_short_run_cci","ecm"
"d_house_prices",-0.0106686453722199,0.0724310607617099,-0.147293788880416,0.883143275972886,"step2_add_short_run_cci","ecm"
"(Intercept)",0.00290225854197625,0.00276219954420388,1.05070560454847,0.295470633185151,"step3_level_net_worth","ecm"
"ecm_lag",-0.0616948600039023,0.0326473815265283,-1.88973378933226,0.0611666552887416,"step3_level_net_worth","ecm"
"d_lgdi",-0.085466937518644,0.674414092171498,-0.126727686314287,0.899364558286152,"step3_level_net_worth","ecm"
"d_lgdi_lag",0.0389025733681459,0.0814876626030883,0.477404457624871,0.633928302379686,"step3_level_net_worth","ecm"
"d_lcons_lag",-0.253727860635042,0.0742279541601521,-3.41822516201384,0.000857339677969842,"step3_level_net_worth","ecm"
"d_log_y_yp",0.0877755382640128,0.67383384584267,0.130262881280836,0.896572986501325,"step3_level_net_worth","ecm"
"d_net_worth_income_ratio",0.00352823902552597,0.0102919196955189,0.342816416169877,0.732326539553054,"step3_level_net_worth","ecm"
"d_cci",0.0810927110540402,0.0435469290726666,1.8621912676947,0.0649820068799837,"step3_level_net_worth","ecm"
"d_u",-0.0268840192983384,0.00337112101020147,-7.97480102819915,0.000000000000931135152249412,"step3_level_net_worth","ecm"
"d_house_prices",-0.0233389471523839,0.0725514566102908,-0.321688195424507,0.748239428941132,"step3_level_net_worth","ecm"
"(Intercept)",-0.000826067075072864,0.00320922994878313,-0.257403516811281,0.797308155228839,"step4_split_housing_net_financial","ecm"
"ecm_lag",-0.0600635617526437,0.0351201316016811,-1.71023168232572,0.0898073132424396,"step4_split_housing_net_financial","ecm"
"d_lgdi",-0.497132409780502,0.685747176327835,-0.724949991690287,0.469893960377449,"step4_split_housing_net_financial","ecm"
"d_lgdi_lag",0.0539053009428464,0.0804647851975997,0.669924126566294,0.504193249370945,"step4_split_housing_net_financial","ecm"
"d_lcons_lag",-0.261548709588118,0.0731874744260789,-3.573681311442,0.000507954493588993,"step4_split_housing_net_financial","ecm"
"d_log_y_yp",-0.123793084710437,0.665138643416802,-0.186116211914128,0.852667883361231,"step4_split_housing_net_financial","ecm"
"d_net_financial_wealth_income_ratio",-0.00637819067777833,0.0178796420458887,-0.356729215350535,0.72192103242861,"step4_split_housing_net_financial","ecm"
"d_hw_ratio",0.0295324586659717,0.0184704921092638,1.59889939538534,0.112472707237297,"step4_split_housing_net_financial","ecm"
"d_house_price_income_log_ratio",-0.657844816489725,0.271527520058367,-2.42275558789885,0.0168976822282511,"step4_split_housing_net_financial","ecm"
"d_cci",0.067594680348331,0.0396218874217889,1.70599344823637,0.0905962178715456,"step4_split_housing_net_financial","ecm"
"d_u",-0.0260984592165511,0.00332875206513973,-7.84031333840287,0.00000000000205271930009208,"step4_split_housing_net_financial","ecm"
"d_house_prices",0.545745466345627,0.264259011003137,2.06519151144159,0.0410585412302281,"step4_split_housing_net_financial","ecm"
"(Intercept)",-0.00105615000147396,0.00311204840007483,-0.339374542326708,0.73493085034388,"step5_split_liquid_illiquid_debt","ecm"
"ecm_lag",-0.24063989069339,0.0709569278216778,-3.39135159991909,0.000946875556063197,"step5_split_liquid_illiquid_debt","ecm"
"d_lgdi",-0.524181651737457,0.677621963021283,-0.773560599187652,0.440737642193165,"step5_split_liquid_illiquid_debt","ecm"
"d_lgdi_lag",0.155991326945408,0.0841256438365391,1.85426606955316,0.0661979580284498,"step5_split_liquid_illiquid_debt","ecm"
"d_lcons_lag",-0.172330379816313,0.0782577994079174,-2.20208568500685,0.0296035874872332,"step5_split_liquid_illiquid_debt","ecm"
"d_log_y_yp",-0.169894156753171,0.66362852376059,-0.256007918090124,0.798390483558336,"step5_split_liquid_illiquid_debt","ecm"
"d_hw_ratio",0.0337262293107548,0.0177037262883992,1.90503562703942,0.0592093100797343,"step5_split_liquid_illiquid_debt","ecm"
"d_house_price_income_log_ratio",-0.578897351883927,0.265721519415216,-2.17858663896673,0.0313505907203896,"step5_split_liquid_illiquid_debt","ecm"
"d_liquid_assets_ratio",-0.0888677738411905,0.115660410668379,-0.768350841291684,0.443813766208733,"step5_split_liquid_illiquid_debt","ecm"
"d_ifw_ratio",-0.0147476626886711,0.0173730111329394,-0.848883511086306,0.397664951156899,"step5_split_liquid_illiquid_debt","ecm"
"d_debt_ratio",-3.58842177364966,1.61212544792585,-2.22589487577812,0.0279206172941963,"step5_split_liquid_illiquid_debt","ecm"
"d_cci",1.7466830082584,0.749738511437041,2.32972293888237,0.0215206380339388,"step5_split_liquid_illiquid_debt","ecm"
"d_u",-0.0251225439878566,0.00321683632328517,-7.80970539470918,0.00000000000260640991045841,"step5_split_liquid_illiquid_debt","ecm"
"d_house_prices",0.420463898848805,0.26200988484631,1.60476349621481,0.11121899500308,"step5_split_liquid_illiquid_debt","ecm"
"(Intercept)",0.000877902576203777,0.00310577672184664,0.282667639958932,0.77793109059555,"step6_post_gfc_shift","ecm"
"ecm_lag",-0.231163940371266,0.0759293862570059,-3.04445948751412,0.00287978525873898,"step6_post_gfc_shift","ecm"
"d_lgdi",-0.496981667371531,0.664655275635549,-0.747728462542199,0.45612420217892,"step6_post_gfc_shift","ecm"
"d_lgdi_lag",0.158425216282295,0.0825564851732159,1.91899177817339,0.0574212780065047,"step6_post_gfc_shift","ecm"
"d_lcons_lag",-0.215801615684867,0.0776695733852903,-2.77845759000574,0.00636443500651678,"step6_post_gfc_shift","ecm"
"d_log_y_yp",0.131096627775864,0.655146324504978,0.200102821113923,0.841747559622386,"step6_post_gfc_shift","ecm"
"d_gfc_income_shift_interaction",-0.595736548006642,0.161841428441868,-3.68098918640369,0.000352848834571137,"step6_post_gfc_shift","ecm"
"d_hw_ratio",0.0279686574095005,0.0176045490488363,1.58871762814903,0.114822887609731,"step6_post_gfc_shift","ecm"
"d_house_price_income_log_ratio",-0.327454850229804,0.273961890171745,-1.19525693892872,0.234403747801834,"step6_post_gfc_shift","ecm"
"d_liquid_assets_ratio",-0.0967460621598181,0.114412317821695,-0.845591313957919,0.399506768271442,"step6_post_gfc_shift","ecm"
"d_ifw_ratio",-0.0221024465761912,0.0172323093353194,-1.28261663286707,0.202161656712982,"step6_post_gfc_shift","ecm"
"d_debt_ratio",-4.63939937441738,1.62939585601557,-2.84731261423624,0.00520902380691409,"step6_post_gfc_shift","ecm"
"d_cci",2.19380318917708,0.754669442220719,2.90697233310721,0.00436670607114515,"step6_post_gfc_shift","ecm"
"d_u",-0.0237274599581553,0.00318863051083702,-7.44126981082134,0.0000000000182642359634395,"step6_post_gfc_shift","ecm"
"d_house_prices",0.232973810210871,0.265016850911218,0.879090553713202,0.38115407868718,"step6_post_gfc_shift","ecm"
