"term","estimate","std.error","statistic","p.value","specification","equation"
"(Intercept)",-0.0459153687608624,0.0328303918480293,-1.39856292222777,0.164307039391989,"step1_textbook_log_net_worth","long_run"
"log_disposable_permanent_income_ratio",1.12417633708741,0.0947834346569589,11.8604726781219,0.000000000000000000000171340268934423,"step1_textbook_log_net_worth","long_run"
"log_net_worth_income_ratio",-0.0674179971806748,0.0226715760363314,-2.97367933630361,0.00350362059835599,"step1_textbook_log_net_worth","long_run"
"(Intercept)",-0.0459153687608624,0.0328303918480293,-1.39856292222777,0.164307039391989,"step2_add_short_run_cci","long_run"
"log_disposable_permanent_income_ratio",1.12417633708741,0.0947834346569589,11.8604726781219,0.000000000000000000000171340268934423,"step2_add_short_run_cci","long_run"
"log_net_worth_income_ratio",-0.0674179971806748,0.0226715760363314,-2.97367933630361,0.00350362059835599,"step2_add_short_run_cci","long_run"
"(Intercept)",-0.0847374015319568,0.0171348630515092,-4.94532120141417,0.00000228561113272521,"step3_level_net_worth","long_run"
"log_disposable_permanent_income_ratio",1.13376283739308,0.0870509791779441,13.0241250368421,0.000000000000000000000000216079234343746,"step3_level_net_worth","long_run"
"net_worth_income_ratio",-0.013642167685688,0.00367307222437179,-3.71410275985555,0.000300706468797992,"step3_level_net_worth","long_run"
"(Intercept)",4.76941210927939,0.922002493634056,5.17288417570416,0.000000857848125722924,"step4_split_housing_net_financial","long_run"
"log_disposable_permanent_income_ratio",0.61896365790931,0.108806074231259,5.68868661315497,0.0000000817230233951701,"step4_split_housing_net_financial","long_run"
"net_financial_wealth_income_ratio",-0.140415095860985,0.0215104099985544,-6.5277740345452,0.00000000139165150104168,"step4_split_housing_net_financial","long_run"
"housing_wealth_income_ratio",0.136022434642198,0.0216254774958797,6.28991589518031,0.00000000454137504333839,"step4_split_housing_net_financial","long_run"
"house_price_income_log_ratio",-0.363538301627011,0.0686062128782852,-5.29891224679559,0.000000488751456212706,"step4_split_housing_net_financial","long_run"
"(Intercept)",3.30620507023406,0.692949124058943,4.77120896101,0.00000494576207128217,"step5_split_liquid_illiquid_debt","long_run"
"log_disposable_permanent_income_ratio",-0.25784986492942,0.0895462103134912,-2.87951733553789,0.0046757041605656,"step5_split_liquid_illiquid_debt","long_run"
"housing_wealth_income_ratio",0.0489345844457101,0.013520541934754,3.61927685161241,0.000425176824746969,"step5_split_liquid_illiquid_debt","long_run"
"house_price_income_log_ratio",-0.238115382943893,0.0515205078835639,-4.62175923191659,0.00000921922505793094,"step5_split_liquid_illiquid_debt","long_run"
"liquid_assets_income_ratio",-0.656372704256678,0.0316040854056859,-20.7686030407509,0.00000000000000000000000000000000000000000116938374754509,"step5_split_liquid_illiquid_debt","long_run"
"illiquid_financial_income_ratio",-0.0464739733836772,0.0158354851429783,-2.93479946866576,0.00396235713116429,"step5_split_liquid_illiquid_debt","long_run"
"debt_income_ratio",0.342827369982266,0.0284879877309586,12.0341026968959,0.000000000000000000000099474092500563,"step5_split_liquid_illiquid_debt","long_run"
"(Intercept)",3.75086733155688,0.67042645165136,5.59474842067753,0.000000131210267418436,"step6_post_gfc_shift","long_run"
"log_disposable_permanent_income_ratio",0.0532998005637115,0.118984246325532,0.447956785958765,0.654953656867095,"step6_post_gfc_shift","long_run"
"gfc_income_shift_interaction",-0.802758953629107,0.214097038451702,-3.74950984578986,0.000268820187338764,"step6_post_gfc_shift","long_run"
"housing_wealth_income_ratio",0.0693043072560704,0.0139740540627776,4.95949900756967,0.00000223569919405661,"step6_post_gfc_shift","long_run"
"house_price_income_log_ratio",-0.26811204342914,0.0497079206362087,-5.39374892366429,0.000000328685849124542,"step6_post_gfc_shift","long_run"
"liquid_assets_income_ratio",-0.717908949502281,0.034278824200075,-20.9432197940065,0.000000000000000000000000000000000000000000737110821131489,"step6_post_gfc_shift","long_run"
"illiquid_financial_income_ratio",-0.0758076847022116,0.0169878394385404,-4.46246769499281,0.0000177558944582227,"step6_post_gfc_shift","long_run"
"debt_income_ratio",0.310824665312256,0.0284384550132503,10.9297310689851,0.0000000000000000000573365487182682,"step6_post_gfc_shift","long_run"
"(Intercept)",0.00463907604792477,0.0026446188917104,1.75415673784455,0.081894197164975,"step1_textbook_log_net_worth","ecm"
"ecm_lag",-0.0290618483024847,0.0283065559328069,-1.02668259506634,0.306584776575864,"step1_textbook_log_net_worth","ecm"
"d_lgdi",-0.362119380722222,0.672643850582596,-0.538352324798004,0.591306731820877,"step1_textbook_log_net_worth","ecm"
"d_lgdi_lag",0.0880251435274508,0.0786193429008043,1.11963723276744,0.265049979465348,"step1_textbook_log_net_worth","ecm"
"d_lcons_lag",-0.242617421174399,0.074885795756282,-3.23983231698578,0.00153842973709631,"step1_textbook_log_net_worth","ecm"
