"specification","n_obs","aic","bic","adj_r2","sigma","residual_box_p","sign_score","adjustment_ok","admissible"
"with_persistence",136,-807.643812151168,-781.429918179543,0.484882723239307,0.0119852156967901,0.73425405730587,2,TRUE,TRUE
"with_all",136,-805.738916854467,-773.69971311137,0.484705917363834,0.0119872723883899,0.508172530538441,2,TRUE,TRUE
"base",136,-789.897666713448,-766.596427627559,0.409006687350618,0.012837607096142,0.135903023189826,2,TRUE,TRUE
"with_housing",136,-789.495680736303,-763.281786764678,0.41134708038493,0.0128121627721734,0.338484915365682,2,TRUE,TRUE
"with_cashflow",136,-789.411438060871,-763.197544089247,0.410982337306039,0.0128161315149311,0.141365197763389,2,TRUE,TRUE
"with_cashflow_and_housing",136,-788.858029899199,-759.731481041838,0.412625478039478,0.0127982429047179,0.321535515938282,2,TRUE,TRUE
