"date","term","contribution"
1995-01-01,"hp_x_1_minus_cci",0.0172753402287011
1995-04-01,"hp_x_1_minus_cci",0.0178675309612934
1995-07-01,"hp_x_1_minus_cci",0.0189258557335313
1995-10-01,"hp_x_1_minus_cci",0.0197715635825564
1996-01-01,"hp_x_1_minus_cci",0.0205164087745967
1996-04-01,"hp_x_1_minus_cci",0.0206529444658875
1996-07-01,"hp_x_1_minus_cci",0.0207403495946098
1996-10-01,"hp_x_1_minus_cci",0.0214648447520871
1997-01-01,"hp_x_1_minus_cci",0.0214377716849545
1997-04-01,"hp_x_1_minus_cci",0.0214201394976151
1997-07-01,"hp_x_1_minus_cci",0.0206857886890175
1997-10-01,"hp_x_1_minus_cci",0.019720341454067
1998-01-01,"hp_x_1_minus_cci",0.0177349753123141
1998-04-01,"hp_x_1_minus_cci",0.0168080406357194
1998-07-01,"hp_x_1_minus_cci",0.0180166147717669
1998-10-01,"hp_x_1_minus_cci",0.0162241256436684
1999-01-01,"hp_x_1_minus_cci",0.0156287346012613
1999-04-01,"hp_x_1_minus_cci",0.0165825180745535
1999-07-01,"hp_x_1_minus_cci",0.0154452658727204
1999-10-01,"hp_x_1_minus_cci",0.0145086224652834
2000-01-01,"hp_x_1_minus_cci",0.0142722271521393
2000-04-01,"hp_x_1_minus_cci",0.0119952531634135
2000-07-01,"hp_x_1_minus_cci",0.0170810665820177
2000-10-01,"hp_x_1_minus_cci",0.0139781841684276
2001-01-01,"hp_x_1_minus_cci",0.0138425946006868
2001-04-01,"hp_x_1_minus_cci",0.0127306129834831
2001-07-01,"hp_x_1_minus_cci",0.0107659134028067
2001-10-01,"hp_x_1_minus_cci",0.0105977302179107
2002-01-01,"hp_x_1_minus_cci",0.00816315479055605
2002-04-01,"hp_x_1_minus_cci",0.00299982372901326
2002-07-01,"hp_x_1_minus_cci",0.00190313399345087
2002-10-01,"hp_x_1_minus_cci",-0.000596636733933195
2003-01-01,"hp_x_1_minus_cci",-0.00159529504370554
2003-04-01,"hp_x_1_minus_cci",-0.00398933284426709
2003-07-01,"hp_x_1_minus_cci",-0.00541575337657246
2003-10-01,"hp_x_1_minus_cci",-0.00636975171404763
2004-01-01,"hp_x_1_minus_cci",-0.00519117390753418
2004-04-01,"hp_x_1_minus_cci",-0.00220689789748233
2004-07-01,"hp_x_1_minus_cci",-0.00287510229794571
2004-10-01,"hp_x_1_minus_cci",-0.00240302166924377
2005-01-01,"hp_x_1_minus_cci",-0.00166352224083293
2005-04-01,"hp_x_1_minus_cci",-0.000874144376490947
2005-07-01,"hp_x_1_minus_cci",-0.000413976797483336
2005-10-01,"hp_x_1_minus_cci",-0.00175402527040335
2006-01-01,"hp_x_1_minus_cci",-0.001390168943106
2006-04-01,"hp_x_1_minus_cci",-0.00319035400614648
2006-07-01,"hp_x_1_minus_cci",-0.00190518373862002
2006-10-01,"hp_x_1_minus_cci",-0.00201448771075157
2007-01-01,"hp_x_1_minus_cci",-0.00162264009116921
2007-04-01,"hp_x_1_minus_cci",-0.00276776783165391
2007-07-01,"hp_x_1_minus_cci",-0.00458405595259342
2007-10-01,"hp_x_1_minus_cci",-0.00584735185802607
2008-01-01,"hp_x_1_minus_cci",-0.0051467294038415
2008-04-01,"hp_x_1_minus_cci",-0.00447134117982146
2008-07-01,"hp_x_1_minus_cci",-0.00286135896092263
2008-10-01,"hp_x_1_minus_cci",0.00180430275577464
2009-01-01,"hp_x_1_minus_cci",0.000942067554593337
2009-04-01,"hp_x_1_minus_cci",0.000804188178279216
2009-07-01,"hp_x_1_minus_cci",-0.00109560480374763
2009-10-01,"hp_x_1_minus_cci",0.00086319404863425
2010-01-01,"hp_x_1_minus_cci",0.00458486944811867
2010-04-01,"hp_x_1_minus_cci",0.00778320864443458
2010-07-01,"hp_x_1_minus_cci",0.00981191627645435
2010-10-01,"hp_x_1_minus_cci",0.0105869994675695
2011-01-01,"hp_x_1_minus_cci",0.0102600305601108
2011-04-01,"hp_x_1_minus_cci",0.0101299215788799
2011-07-01,"hp_x_1_minus_cci",0.00977375256231771
2011-10-01,"hp_x_1_minus_cci",0.00977433414530171
2012-01-01,"hp_x_1_minus_cci",0.00964069970622941
2012-04-01,"hp_x_1_minus_cci",0.00946488755844581
2012-07-01,"hp_x_1_minus_cci",0.00959415857331763
2012-10-01,"hp_x_1_minus_cci",0.00942969268086379
2013-01-01,"hp_x_1_minus_cci",0.00941519733679027
2013-04-01,"hp_x_1_minus_cci",0.00938418229630997
2013-07-01,"hp_x_1_minus_cci",0.0094206057112972
2013-10-01,"hp_x_1_minus_cci",0.00965931204210265
2014-01-01,"hp_x_1_minus_cci",0.00974064891676873
2014-04-01,"hp_x_1_minus_cci",0.0095831522520929
2014-07-01,"hp_x_1_minus_cci",0.00952463713329216
2014-10-01,"hp_x_1_minus_cci",0.00973807076082358
2015-01-01,"hp_x_1_minus_cci",0.00978609936589069
2015-04-01,"hp_x_1_minus_cci",0.00960162346618875
2015-07-01,"hp_x_1_minus_cci",0.00974654608023681
2015-10-01,"hp_x_1_minus_cci",0.0099805355564825
2016-01-01,"hp_x_1_minus_cci",0.0100710216936933
2016-04-01,"hp_x_1_minus_cci",0.00992385939870611
