"term","ols_williams","t_williams","sign_ok_williams","ols_kalman","t_kalman","sign_ok_kalman","diff_abs"
"(Intercept)",-0.038416866156469,-3.82957935599382,NA,-0.0133534124384809,-0.458699016272385,NA,0.0250634537179881
"abs_income_resid",-0.161816917896719,-1.55912211083432,NA,-0.205858477350217,-1.16764306345101,NA,-0.044041559453498
"d2000_gst",0.0104361231353865,1.97637648182121,NA,0.0100155538757809,1.23515496452549,NA,-0.0004205692596056
"d2008_gfc",-0.0038137247084346,-1.28646711932937,NA,-0.0139853762242253,-4.85394533910278,NA,-0.0101716515157907
"d2020_covid",-0.155067158030119,-28.9897304716546,NA,-0.157069000375662,-24.3667513689414,NA,-0.00200184234554299
"d2020_rebound",0.0172021693289255,1.82217893653793,NA,0.0286566359747739,3.05397447592701,NA,0.0114544666458484
"d2_log_unemp",0.00383202469591177,0.588533096563394,NA,0.0101052176277789,0.821850677990649,NA,0.00627319293186713
"d_apra_2014",-0.0179690608433173,-2.26509738695461,NA,0.00424991730429881,1.22028237400246,NA,0.0222189781476161
"d_apra_2017",0.00867245618082665,1.27578093020103,NA,-0.00753762923270297,-1.61376762201533,NA,-0.0162100854135296
"d_jobkeeper_2020",0.0269853494930406,4.05048099972938,NA,0.0146521517890015,1.78038983787328,NA,-0.0123331977040391
"d_recession_1991",-0.0038883175513254,-2.704582154973,NA,-0.00387000316468318,-1.45642287298248,NA,0.0000183143866422197
"dd4_income",0.0113716636521157,0.330235392915538,NA,-0.00850623894397213,-0.249224000943368,NA,-0.0198779025960878
"ecm_lag",-0.444919757032121,-3.29614614225775,TRUE,-0.199374193304435,-3.29598538349962,TRUE,0.245545563727686
"eq_y",0.00970822959078899,0.6923831389014,TRUE,-0.0126571588124091,-0.451204764810296,FALSE,-0.0223653884031981
"ha_x_cci",0.00158801436892427,0.32187683357927,NA,NA,NA,NA,NA
"ha_y",0.00969043902451371,2.48870088855151,TRUE,0.00519441305269562,1.39097493671567,TRUE,-0.00449602597181809
"hp_x_1_minus_cci",0.0076498105070504,0.999786340274581,NA,-0.00184270571123319,-0.567317445027246,NA,-0.00949251621828359
"ln_yp_over_y",0.467666540355459,3.43697983276586,NA,0.206390584449164,2.56824614438191,NA,-0.261275955906295
"nla_y",0.0435463339519408,3.73820146070803,TRUE,0.00557787522014784,0.301503639248325,TRUE,-0.037968458731793
"r_x_cci",0.00192172574478654,1.8545544881946,NA,0.00094661848720209,0.797000611634071,NA,-0.00097510725758445
"super_y",0.0139297504030456,2.1527547104862,TRUE,0.00224686748442624,0.306169083635985,TRUE,-0.0116828829186194
"yp_x_cci",-0.611301860307943,-2.12219622924101,NA,0.0883092993243519,0.64221287861985,NA,0.699611159632295
