"spec_name","horizon","n","mae","rmse","bias","mae_pct"
"Spec7_CohortBurden",1,36,0.0166432908274826,0.0308009230536339,-0.00317924227566655,342.27812449909
"Benchmark_RW_drift",1,36,0.0144663060808368,0.0309430031242854,-0.0023514095992754,206.97231279636
"Spec4_Disagg_NoCCI",1,36,0.0145648005796781,0.031909401846887,-0.000140842550553349,187.148433327956
"Spec9_KalmanCCI",1,36,0.0154438858357833,0.032029511829708,-0.00480161461120041,241.510909660873
"Spec6_Preferred",1,36,0.0163083420630074,0.0321792905565723,-0.00170921059578526,236.922596842538
"Spec8_CCI_Interactions",1,36,0.0157108595311179,0.0324235979532093,-0.00233571873254425,196.679839646855
"Benchmark_AR1",1,36,0.0169165821011264,0.0370266609170236,0.00047060711080925,205.80641860994
"Benchmark_RW_drift",4,36,0.014819767239409,0.0309367601064336,-0.00284674744723268,218.155014237532
"Benchmark_AR1",4,36,0.0150471458970993,0.0310192984853409,-0.00259037369417599,219.735643164533
"Spec8_CCI_Interactions",4,36,0.0173263902556975,0.0315099005404828,-0.00266408868256225,385.023919589556
"Spec9_KalmanCCI",4,36,0.0179278486682298,0.0322215095385663,-0.00747432084226871,547.997048769338
"Spec4_Disagg_NoCCI",4,36,0.0177651067833123,0.0325179580672542,0.00467738006711778,450.471271620177
"Spec6_Preferred",4,36,0.0205480257713018,0.0332339010569521,-0.00267700882068918,730.062722364391
"Spec7_CohortBurden",4,36,0.0226696742431928,0.0346123592619298,-0.0056759085686927,847.642177029607
"Benchmark_RW_drift",8,32,0.0164784619619263,0.0328164538682178,-0.00308908494726539,231.877352232254
"Benchmark_AR1",8,32,0.0165085193305703,0.0328287084321737,-0.00302494841902857,231.035747746147
"Spec8_CCI_Interactions",8,32,0.0215772750046083,0.0365743218435172,-0.00408985204389811,874.182670544425
"Spec9_KalmanCCI",8,32,0.0233834104710352,0.038535824073736,-0.0120974801262589,941.405124300534
"Spec6_Preferred",8,32,0.0277108443344587,0.0416340961298934,-0.00429177532489444,1732.99973856222
"Spec7_CohortBurden",8,32,0.0286782893075983,0.0442756415604642,-0.00624260425140998,2052.72263303836
"Spec4_Disagg_NoCCI",8,32,0.0277384627677843,0.0502510723690512,0.013814854125105,2238.54948626938
