"window_end","horizon","target_date","actual_dlcons","forecast_dlcons","forecast_se","actual_lcons","forecast_lcons","spec_name"
2015-01-01,1,2015-04-01,0.0026387838266313,-0.0167074685532509,0.00538795126148904,9.61595968676492,9.59661343438504,"Spec11_LIVES_Headline"
2015-01-01,4,2016-01-01,0.00386268344003859,-0.0837552055214289,0.00538795126148904,9.62703047973885,9.41931118895697,"Spec11_LIVES_Headline"
2015-01-01,8,2017-01-01,0.000310795292557842,-0.301291486476057,0.00538795126148904,9.63320924557572,8.58578082771166,"Spec11_LIVES_Headline"
2015-04-01,1,2015-07-01,0.00570331868052776,-0.00697716300934183,0.00540813943534954,9.62166300544545,9.60898252375558,"Spec11_LIVES_Headline"
2015-04-01,4,2016-04-01,0.000897244943260489,-0.014420293145352,0.00540813943534954,9.62792772468211,9.57511713043553,"Spec11_LIVES_Headline"
2015-04-01,8,2017-04-01,0.00152994757351266,-0.0575989044299135,0.00540813943534954,9.63473919314924,9.4137093177655,"Spec11_LIVES_Headline"
2015-07-01,1,2015-10-01,0.00150479085336386,0.00605312508297637,0.00540828641578933,9.62316779629881,9.62771613052842,"Spec11_LIVES_Headline"
2015-07-01,4,2016-07-01,0.00203000553007016,0.0254042127076446,0.00540828641578933,9.62995773021218,9.68794023826925,"Spec11_LIVES_Headline"
2015-07-01,8,2017-07-01,0.00301751524172644,0.0472622274346405,0.00540828641578933,9.63775670839096,9.84991440340248,"Spec11_LIVES_Headline"
2015-10-01,1,2016-01-01,0.00386268344003859,0.00885946685742278,0.00538354116437999,9.62703047973885,9.63202726315624,"Spec11_LIVES_Headline"
2015-10-01,4,2016-10-01,0.00294072007098478,0.0214515039033267,0.00538354116437999,9.63289845028317,9.68249416272009,"Spec11_LIVES_Headline"
2015-10-01,8,2017-10-01,0.00630087072096153,0.0262844720093529,0.00538354116437999,9.64405757911192,9.77645706495399,"Spec11_LIVES_Headline"
2016-01-01,1,2016-04-01,0.000897244943260489,0.00900991164088708,0.0053607679036971,9.62792772468211,9.63604039137974,"Spec11_LIVES_Headline"
2016-01-01,4,2017-01-01,0.000310795292557842,0.00979962554505075,0.0053607679036971,9.63320924557572,9.66688627963178,"Spec11_LIVES_Headline"
2016-01-01,8,2018-01-01,0.00211653371390952,0.00859359939230279,0.0053607679036971,9.64617411282583,9.70531450410228,"Spec11_LIVES_Headline"
2016-04-01,1,2016-07-01,0.00203000553007016,0.00152248603611436,0.0053513323936667,9.62995773021218,9.62945021071823,"Spec11_LIVES_Headline"
2016-04-01,4,2017-04-01,0.00152994757351266,-0.00569909626457288,0.0053513323936667,9.63473919314924,9.62447695256285,"Spec11_LIVES_Headline"
2016-04-01,8,2018-04-01,0.00255947356622244,-0.00448805521764896,0.0053513323936667,9.64873358639206,9.5996826915304,"Spec11_LIVES_Headline"
2016-07-01,1,2016-10-01,0.00294072007098478,0.00347629375338603,0.00532317105282845,9.63289845028317,9.63343402396557,"Spec11_LIVES_Headline"
2016-07-01,4,2017-07-01,0.00301751524172644,-0.00501888095263382,0.00532317105282845,9.63775670839096,9.62151986198283,"Spec11_LIVES_Headline"
2016-07-01,8,2018-07-01,-0.00262925887424004,-0.0028077607918937,0.00532317105282845,9.64610432751782,9.60184433025477,"Spec11_LIVES_Headline"
2016-10-01,1,2017-01-01,0.000310795292557842,-0.00218636996315123,0.00529547699662198,9.63320924557572,9.63071208032001,"Spec11_LIVES_Headline"
2016-10-01,4,2017-10-01,0.00630087072096153,-0.00603469383251503,0.00529547699662198,9.64405757911192,9.61367940590583,"Spec11_LIVES_Headline"
2016-10-01,8,2018-10-01,-0.00115999594047977,-0.00306558701112525,0.00529547699662198,9.64494433157734,9.59505610141289,"Spec11_LIVES_Headline"
2017-01-01,1,2017-04-01,0.00152994757351266,-0.00407327605116784,0.00527040849900319,9.63473919314924,9.62913596952456,"Spec11_LIVES_Headline"
2017-01-01,4,2018-01-01,0.00211653371390952,-0.0063316694068101,0.00527040849900319,9.64617411282583,9.61456180296773,"Spec11_LIVES_Headline"
2017-01-01,8,2019-01-01,-0.000999312088630688,0.000442312473867197,0.00527040849900319,9.64394501948871,9.60833592098744,"Spec11_LIVES_Headline"
2017-04-01,1,2017-07-01,0.00301751524172644,-0.00172126411786386,0.00525726116569047,9.63775670839096,9.63301792903137,"Spec11_LIVES_Headline"
2017-04-01,4,2018-04-01,0.00255947356622244,-0.000573349748935411,0.00525726116569047,9.64873358639206,9.6269837840322,"Spec11_LIVES_Headline"
2017-04-01,8,2019-04-01,-0.000600710546352801,-0.00103194297728146,0.00525726116569047,9.64334430894235,9.62696613776249,"Spec11_LIVES_Headline"
2017-07-01,1,2017-10-01,0.00630087072096153,-0.000131001203144436,0.00524202810197628,9.64405757911192,9.63762570718782,"Spec11_LIVES_Headline"
2017-07-01,4,2018-07-01,-0.00262925887424004,0.00145880103377059,0.00524202810197628,9.64610432751782,9.63785095695286,"Spec11_LIVES_Headline"
2017-07-01,8,2019-07-01,-0.00558461233269902,0.00396696130646207,0.00524202810197628,9.63775969660965,9.6447712741068,"Spec11_LIVES_Headline"
2017-10-01,1,2018-01-01,0.00211653371390952,-0.000577885754914954,0.00523733096946803,9.64617411282583,9.64347969335701,"Spec11_LIVES_Headline"
2017-10-01,4,2018-10-01,-0.00115999594047977,0.00201565284877622,0.00523733096946803,9.64494433157734,9.65064798526549,"Spec11_LIVES_Headline"
2017-10-01,8,2019-10-01,-0.000681058957608727,0.00215548042401908,0.00523733096946803,9.63707863765205,9.65938734953482,"Spec11_LIVES_Headline"
2018-01-01,1,2018-04-01,0.00255947356622244,0.00278374435151782,0.00521547976732686,9.64873358639206,9.64895785717735,"Spec11_LIVES_Headline"
2018-01-01,4,2019-01-01,-0.000999312088630688,0.0033255697519022,0.00521547976732686,9.64394501948871,9.65784750489537,"Spec11_LIVES_Headline"
2018-01-01,8,2020-01-01,-0.017680643359224,0.00316297844404678,0.00521547976732686,9.61939799429282,9.66703517821452,"Spec11_LIVES_Headline"
2018-04-01,1,2018-07-01,-0.00262925887424004,0.00311990278368691,0.00518988133724289,9.64610432751782,9.65185348917574,"Spec11_LIVES_Headline"
2018-04-01,4,2019-04-01,-0.000600710546352801,0.0000293437179221199,0.00518988133724289,9.64334430894235,9.65753689666797,"Spec11_LIVES_Headline"
2018-04-01,8,2020-04-01,-0.138590030065481,0.00722945166979949,0.00518988133724289,9.48080796422734,9.67358674442978,"Spec11_LIVES_Headline"
2018-07-01,1,2018-10-01,-0.00115999594047977,0.00159661939907025,0.00518493605817247,9.64494433157734,9.64770094691689,"Spec11_LIVES_Headline"
2018-07-01,4,2019-07-01,-0.00558461233269902,0.00164313045937612,0.00518493605817247,9.63775969660965,9.64997823913489,"Spec11_LIVES_Headline"
2018-07-01,8,2020-07-01,0.0731272892111381,0.0113774852665244,0.00518493605817247,9.55393525343848,9.66364452715376,"Spec11_LIVES_Headline"
2018-10-01,1,2019-01-01,-0.000999312088630688,0.00144981174898657,0.00516446707833807,9.64394501948871,9.64639414332632,"Spec11_LIVES_Headline"
2018-10-01,4,2019-10-01,-0.000681058957608727,-0.00262384179457457,0.00516446707833807,9.63707863765205,9.6421796358871,"Spec11_LIVES_Headline"
2018-10-01,8,2020-10-01,0.0452070349225622,0.00258292371323054,0.00516446707833807,9.59914228836104,9.65263620368605,"Spec11_LIVES_Headline"
2019-01-01,1,2019-04-01,-0.000600710546352801,-0.0030585880362762,0.0051427213020822,9.64334430894235,9.64088643145243,"Spec11_LIVES_Headline"
2019-01-01,4,2020-01-01,-0.017680643359224,-0.00632601025160142,0.0051427213020822,9.61939799429282,9.62875444220803,"Spec11_LIVES_Headline"
2019-01-01,8,2021-01-01,0.0136929067858915,0.0074618029772298,0.0051427213020822,9.61283519514693,9.64115599441803,"Spec11_LIVES_Headline"
2019-04-01,1,2019-07-01,-0.00558461233269902,0.000397237909535292,0.00512111265247937,9.63775969660965,9.64374154685189,"Spec11_LIVES_Headline"
2019-04-01,4,2020-04-01,-0.138590030065481,0.00182056076400646,0.00512111265247937,9.48080796422734,9.63918595186879,"Spec11_LIVES_Headline"
2019-04-01,8,2021-04-01,0.00898992302959378,0.00580234472662552,0.00512111265247937,9.62182511817653,9.6661077778409,"Spec11_LIVES_Headline"
2019-07-01,1,2019-10-01,-0.000681058957608727,-0.00693800414938906,0.00511074153809097,9.63707863765205,9.63082169246027,"Spec11_LIVES_Headline"
2019-07-01,4,2020-07-01,0.0731272892111381,0.00257911249748084,0.00511074153809097,9.55393525343848,9.62134931971617,"Spec11_LIVES_Headline"
2019-07-01,8,2021-07-01,-0.0494506669498289,0.0153275626701167,0.00511074153809097,9.5723744512267,9.64027922032187,"Spec11_LIVES_Headline"
2019-10-01,1,2020-01-01,-0.017680643359224,-0.0049093665115147,0.00509991687371006,9.61939799429282,9.63216927114053,"Spec11_LIVES_Headline"
2019-10-01,4,2020-10-01,0.0452070349225622,0.000948738667610015,0.00509991687371006,9.59914228836104,9.64067466887988,"Spec11_LIVES_Headline"
2019-10-01,8,2021-10-01,0.0601991404445705,0.0133935179685592,0.00509991687371006,9.63257359167127,9.68643170709651,"Spec11_LIVES_Headline"
2020-01-01,1,2020-04-01,-0.138590030065481,-0.00425475889215134,0.00513008959389476,9.48080796422734,9.61514323540067,"Spec11_LIVES_Headline"
2020-01-01,4,2021-01-01,0.0136929067858915,0.00394229774655463,0.00513008959389476,9.61283519514693,9.61504764346174,"Spec11_LIVES_Headline"
2020-01-01,8,2022-01-01,0.0189170452596095,0.0105073567442739,0.00513008959389476,9.65149063693088,9.65205676538046,"Spec11_LIVES_Headline"
2020-04-01,1,2020-07-01,0.0731272892111381,0.0364659148311022,0.00513008959389476,9.55393525343848,9.51727387905844,"Spec11_LIVES_Headline"
2020-04-01,4,2021-04-01,0.00898992302959378,0.0156484201062021,0.00513008959389476,9.62182511817653,9.57865946072052,"Spec11_LIVES_Headline"
2020-04-01,8,2022-04-01,0.0138864759168875,0.00662136206787004,0.00513008959389476,9.66537711284776,9.64398432793986,"Spec11_LIVES_Headline"
2020-07-01,1,2020-10-01,0.0452070349225622,0.0125106376587224,0.00513008959389476,9.59914228836104,9.5664458910972,"Spec11_LIVES_Headline"
2020-07-01,4,2021-07-01,-0.0494506669498289,0.020221667601725,0.00513008959389476,9.5723744512267,9.61308241262972,"Spec11_LIVES_Headline"
2020-07-01,8,2022-07-01,0.00426375818649305,0.00459333679247076,0.00513008959389476,9.66964087103426,9.65258774250372,"Spec11_LIVES_Headline"
2020-10-01,1,2021-01-01,0.0136929067858915,0.0398811099624823,0.00513008959389476,9.61283519514693,9.63902339832352,"Spec11_LIVES_Headline"
2020-10-01,4,2021-10-01,0.0601991404445705,0.00771442910237992,0.00513008959389476,9.63257359167127,9.65083674488685,"Spec11_LIVES_Headline"
2020-10-01,8,2022-10-01,0.00272886521546845,-0.00493074435074181,0.00513008959389476,9.67236973624973,9.65613949489674,"Spec11_LIVES_Headline"
2021-01-01,1,2021-04-01,0.00898992302959378,0.00150703960347286,0.00536705159896101,9.62182511817653,9.6143422347504,"Spec11_LIVES_Headline"
2021-01-01,4,2022-01-01,0.0189170452596095,0.01131949893664,0.00536705159896101,9.65149063693088,9.64801000740867,"Spec11_LIVES_Headline"
2021-01-01,8,2023-01-01,-0.000902289187150629,-0.00754775013745943,0.00536705159896101,9.67146744706258,9.63925283685754,"Spec11_LIVES_Headline"
2021-04-01,1,2021-07-01,-0.0494506669498289,0.0182729345640813,0.00535349329852917,9.5723744512267,9.64009805274061,"Spec11_LIVES_Headline"
2021-04-01,4,2022-04-01,0.0138864759168875,0.00165781633111665,0.00535349329852917,9.66537711284776,9.66788311723053,"Spec11_LIVES_Headline"
2021-04-01,8,2023-04-01,-0.00295094513243832,-0.00753019728548086,0.00535349329852917,9.66851650193014,9.64940748476605,"Spec11_LIVES_Headline"
2021-07-01,1,2021-10-01,0.0601991404445705,0.00152383090054928,0.00627114522535673,9.63257359167127,9.57389828212725,"Spec11_LIVES_Headline"
2021-07-01,4,2022-07-01,0.00426375818649305,0.0127286762127162,0.00627114522535673,9.66964087103426,9.59795813833962,"Spec11_LIVES_Headline"
2021-07-01,8,2023-07-01,-0.00870455176861107,0.000104709550815777,0.00627114522535673,9.65981195016153,9.62843664023527,"Spec11_LIVES_Headline"
2021-10-01,1,2022-01-01,0.0189170452596095,0.0109474624778822,0.0070186355104301,9.65149063693088,9.64352105414915,"Spec11_LIVES_Headline"
2021-10-01,4,2022-10-01,0.00272886521546845,0.0136467917939788,0.0070186355104301,9.67236973624973,9.6834416453073,"Spec11_LIVES_Headline"
2021-10-01,8,2023-10-01,-0.00578503065892377,-0.00708239583642648,0.0070186355104301,9.6540269195026,9.68561567845618,"Spec11_LIVES_Headline"
2022-01-01,1,2022-04-01,0.0138864759168875,0.0151469833529008,0.00700699977588456,9.66537711284776,9.66663762028378,"Spec11_LIVES_Headline"
2022-01-01,4,2023-01-01,-0.000902289187150629,0.0093086132757748,0.00700699977588456,9.67146744706258,9.70176684295667,"Spec11_LIVES_Headline"
2022-01-01,8,2024-01-01,-0.000433469895900984,0.000991646521461207,0.00700699977588456,9.6535934496067,9.69702073558743,"Spec11_LIVES_Headline"
2022-04-01,1,2022-07-01,0.00426375818649305,0.0114947785764809,0.00697698507045998,9.66964087103426,9.67687189142424,"Spec11_LIVES_Headline"
2022-04-01,4,2023-04-01,-0.00295094513243832,0.00409300133117038,0.00697698507045998,9.66851650193014,9.70392783176154,"Spec11_LIVES_Headline"
2022-04-01,8,2024-04-01,-0.00773596847638736,-0.00365182016450502,0.00697698507045998,9.64585748113031,9.69159816175409,"Spec11_LIVES_Headline"
2022-07-01,1,2022-10-01,0.00272886521546845,0.0131880882484134,0.00696461915090204,9.67236973624973,9.68282895928267,"Spec11_LIVES_Headline"
2022-07-01,4,2023-07-01,-0.00870455176861107,-0.00155874889497573,0.00696461915090204,9.65981195016153,9.69525628915488,"Spec11_LIVES_Headline"
2022-07-01,8,2024-07-01,-0.00184946965238098,-0.00556605871737125,0.00696461915090204,9.64400801147793,9.68336224431967,"Spec11_LIVES_Headline"
2022-10-01,1,2023-01-01,-0.000902289187150629,0.00823991421872218,0.00697041878579439,9.67146744706258,9.68060965046845,"Spec11_LIVES_Headline"
2022-10-01,4,2023-10-01,-0.00578503065892377,-0.00438369243773925,0.00697041878579439,9.6540269195026,9.67962846926246,"Spec11_LIVES_Headline"
2022-10-01,8,2024-10-01,0.00160016896282933,-0.00363084177874894,0.00697041878579439,9.64560818044076,9.67056441442404,"Spec11_LIVES_Headline"
2023-01-01,1,2023-04-01,-0.00295094513243832,0.00481525168144546,0.00697245363566947,9.66851650193014,9.67628269874402,"Spec11_LIVES_Headline"
2023-01-01,4,2024-01-01,-0.000433469895900984,0.00138537832646544,0.00697245363566947,9.6535934496067,9.67056898173605,"Spec11_LIVES_Headline"
2023-04-01,1,2023-07-01,-0.00870455176861107,-0.00308694248664472,0.00696376470722098,9.65981195016153,9.66542955944349,"Spec11_LIVES_Headline"
2023-04-01,4,2024-04-01,-0.00773596847638736,-0.00456457743467059,0.00696376470722098,9.64585748113031,9.65521821966925,"Spec11_LIVES_Headline"
2023-07-01,1,2023-10-01,-0.00578503065892377,-0.00660516781906493,0.00694565020425823,9.6540269195026,9.65320678234246,"Spec11_LIVES_Headline"
2023-07-01,4,2024-07-01,-0.00184946965238098,-0.00589717436568049,0.00694565020425823,9.64400801147793,9.64221353956063,"Spec11_LIVES_Headline"
