"term","ols_estimate","wls_estimate","diff"
"(Intercept)",0.0260866583664252,0.0235082881898018,-0.00257837017662335
"networth_y",0.00108124785735553,0.00116739012485486,0.0000861422674993313
"ln_hp_over_y",0.00572297500271388,0.00529733536293661,-0.000425639639777267
"real_rate",-0.000199270543149429,-0.00020197787292422,-0.00000270732977479104
"ln_yp_over_y",0.196272400591346,0.197725885905016,0.0014534853136704
"ecm_lag",-0.190601701497261,-0.193525330643495,-0.00292362914623373
"d2000_gst",0.00312262303198894,0.00308743390321545,-0.000035189128773489
"d2008_gfc",-0.0117463967859648,-0.0117279199398762,0.0000184768460886643
"d2020_covid",-0.158977135541521,-0.158672254059269,0.00030488148225194
"d2020_rebound",0.0248458016465844,0.0246906031717193,-0.000155198474865153
"d_recession_1991",-0.00276312746012066,-0.00276749185026214,-0.00000436439014148832
"d_apra_2014",0.00705972383323648,0.00696431302825612,-0.0000954108049803608
"d_apra_2017",-0.00979531200046884,-0.0097525978299933,0.0000427141704755357
"d_jobkeeper_2020",0.0136833577791031,0.0131644381834989,-0.000518919595604191
