"metric","value"
"n_draws","200"
"n_draws_target","200"
"runtime_note","Full 200 draws run: projected 200-draw runtime 0.1 min <= 90 min budget (5-draw timing: 0.00 min)."
"real_n_survivors_additive","4"
"real_n_knots_candidate","15"
"real_wald_p","5.684e-05"
"real_lambda","-0.4231"
"real_n_obs","151"
"seed","20260611"
