"specification","equation","term","single_eq_ols","single_eq_se","sur_joint","sur_joint_se","delta_sur_minus_ols","pct_change","n_obs"
"Spec3_LevelNetWorth","consumption","(Intercept)",0.0260866583664252,0.0969892170675723,-0.012778087332888,0.0951651463540497,-0.0388647456993132,-148.983227952776,146
"Spec3_LevelNetWorth","consumption","networth_y",0.00108124785735553,0.00280402518910396,0.00237584908846866,0.00275667442074229,0.00129460123111312,119.732143033273,146
"Spec3_LevelNetWorth","consumption","ln_hp_over_y",0.00572297500271388,0.0158889308243048,-0.000497445610328713,0.0155855340682543,-0.00622042061304259,-108.692080781286,146
"Spec3_LevelNetWorth","consumption","real_rate",-0.000199270543149429,0.000520663762742596,-0.0000557084349152506,0.000512850466256804,0.000143562108234178,-72.0438184014603,146
"Spec3_LevelNetWorth","consumption","ln_yp_over_y",0.196272400591346,0.0445651462851919,0.187383152251472,0.0438709478659141,-0.00888924833987348,-4.52903633577172,146
"Spec3_LevelNetWorth","consumption","ecm_lag",-0.190601701497261,0.040081519701776,-0.203852413834032,0.0394478960049506,-0.0132507123367707,6.95204304719235,146
"Spec3_LevelNetWorth","consumption","d2000_gst",0.00312262303198894,0.00867778787726683,0.00793620967192705,0.00850322920284388,0.00481358663993811,154.152025096418,146
"Spec3_LevelNetWorth","consumption","d2008_gfc",-0.0117463967859648,0.00858099987283172,-0.0134186243688866,0.0084213454891082,-0.00167222758292178,14.2360896996076,146
"Spec3_LevelNetWorth","consumption","d2020_covid",-0.158977135541521,0.0105464988913715,-0.153454381810773,0.0103284956228493,0.00552275373074876,-3.47392957605928,146
"Spec3_LevelNetWorth","consumption","d2020_rebound",0.0248458016465844,0.0112848746429325,0.0290035012221351,0.0110668059301077,0.00415769957555069,16.7340125896975,146
"Spec3_LevelNetWorth","consumption","d_recession_1991",-0.00276312746012066,0.0086419223106767,-0.00310808947210508,0.00847273252818734,-0.000344962011984421,12.4844769907704,146
"Spec3_LevelNetWorth","consumption","d_apra_2014",0.00705972383323648,0.00632239703434437,0.00474482054916299,0.00619848932478823,-0.00231490328407349,-32.7902810188573,146
"Spec3_LevelNetWorth","consumption","d_apra_2017",-0.00979531200046884,0.00480634334517489,-0.0102662968483947,0.00473229037956517,-0.000470984847925907,4.8082679541332,146
"Spec3_LevelNetWorth","consumption","d_jobkeeper_2020",0.0136833577791031,0.00706537898664616,0.0116737505490958,0.00693398017863043,-0.0020096072300073,-14.6865065026388,146
