"sample_variant","term","ols_estimate","nw_se","t_stat","lambda","structural_param","n_obs"
"full","(Intercept)",-0.0122541327871312,0.00643974809904301,-1.90289008182669,-0.42311645591257,-0.0289616076517321,151
"full","nla_y",0.0251209245712695,0.00728169100863177,3.44987511025818,-0.42311645591257,0.0593711830873824,151
"full","ilfa_y",0.0143357692654927,0.00502601140585766,2.85231530688227,-0.42311645591257,0.0338813796182272,151
"full","ha_x_cci",0.00315311213960999,0.00324488967920501,0.971716283550968,-0.42311645591257,0.0074521141769573,151
"full","hp_x_1_minus_cci",0.026819511552854,0.00866106176564558,3.09656163165058,-0.42311645591257,0.0633856499270636,151
"full","r_x_cci",0.00303501228783389,0.000736390892161927,4.12146907320319,-0.42311645591257,0.00717299515398906,151
"full","cci_williams",-0.00120423204611524,0.0105883267530194,-0.113732044184586,-0.42311645591257,-0.00284610071125212,151
"full","ln_yp_over_y",0.437472914088524,0.11066866072022,3.95299727349637,-0.42311645591257,1.03393027611037,151
"full","yp_x_cci",-0.536432873008741,0.37360623522777,-1.43582419785286,-0.42311645591257,-1.26781377919177,151
"full","ecm_lag",-0.42311645591257,0.122400698244346,-3.45681407035694,-0.42311645591257,-1,151
"full","dd4_income",0.0253611325388567,0.0329946057080709,0.768644813132379,-0.42311645591257,0.05993889432676,151
"full","d2_log_unemp",0.00404138015102564,0.00710797627642622,0.568569729815922,-0.42311645591257,0.00955146058384629,151
"full","abs_income_resid",-0.201961920330378,0.107124835700286,-1.8852950299539,-0.42311645591257,-0.4773199375921,151
"full","d2000_gst",0.0100755486547137,0.00519741174388302,1.93857041758753,-0.42311645591257,0.0238127080947086,151
"full","d2008_gfc",-0.00688228686084557,0.00260693675394403,-2.63998996156442,-0.42311645591257,-0.016265703601629,151
"full","d2020_covid",-0.156333942145997,0.00497884913188207,-31.399614249187,-0.42311645591257,-0.369482065661612,151
"full","d2020_rebound",0.0208791890219982,0.00617830778612293,3.37943491078493,-0.42311645591257,0.0493461994451772,151
"full","d_recession_1991",-0.00478366601719328,0.00133588109194734,-3.58090704781219,-0.42311645591257,-0.0113057905225547,151
"full","d_apra_2014",-0.0108961552668843,0.00588907248425869,-1.85023283310053,-0.42311645591257,-0.0257521425003046,151
"full","d_apra_2017",0.00938344070206443,0.00607350201827461,1.54498025584424,-0.42311645591257,0.0221769694157284,151
"full","d_jobkeeper_2020",0.03077916504168,0.00715838640480484,4.29973506613453,-0.42311645591257,0.0727439564488129,151
"precovid","(Intercept)",-0.0100145397402998,0.00644792450904358,-1.55314159250062,-0.265062514056039,-0.0377818031944815,126
"precovid","nla_y",0.0160334355985063,0.00883589206306157,1.81458029184558,-0.265062514056039,0.0604892610168048,126
"precovid","ilfa_y",0.00936783073608635,0.0053614070994428,1.74727092390726,-0.265062514056039,0.0353419674202056,126
"precovid","ha_x_cci",0.00203727856452872,0.00221107763049256,0.92139621713548,-0.265062514056039,0.00768603048901136,126
"precovid","hp_x_1_minus_cci",0.0136166325643012,0.0124209711631087,1.09626150688955,-0.265062514056039,0.0513714004894046,126
"precovid","r_x_cci",0.00215633125240226,0.000628114989255852,3.43301989171909,-0.265062514056039,0.0081351799596467,126
"precovid","cci_williams",0.0195995255696292,0.00722620671492367,2.7122840990906,-0.265062514056039,0.0739430305316029,126
"precovid","ln_yp_over_y",0.297730809179173,0.0510312230485811,5.83428715584058,-0.265062514056039,1.12324751102386,126
"precovid","yp_x_cci",0.182061359552491,0.104453191978188,1.74299469556191,-0.265062514056039,0.68686196613226,126
"precovid","ecm_lag",-0.265062514056039,0.0544385673086329,-4.86902075422557,-0.265062514056039,-1,126
"precovid","dd4_income",0.0519741922721164,0.0265373330553166,1.95853110648976,-0.265062514056039,0.196082771104812,126
"precovid","d2_log_unemp",-0.00174586493554055,0.00652324503319603,-0.267637491257197,-0.265062514056039,-0.0065866157715966,126
"precovid","abs_income_resid",-0.0862984747407912,0.0412947429757848,-2.08981745670136,-0.265062514056039,-0.325577817173144,126
"precovid","d2000_gst",0.00359094068282089,0.00269888956754189,1.33052523749294,-0.265062514056039,0.013547523668555,126
"precovid","d2008_gfc",-0.00521194207771223,0.00260216413825632,-2.0029259496308,-0.265062514056039,-0.0196630673947744,126
"precovid","d_recession_1991",-0.00448144469192676,0.00115512870584171,-3.87960637569064,-0.265062514056039,-0.0169071236190693,126
"precovid","d_apra_2014",-0.00187075413498798,0.00456600853225894,-0.409713236795565,-0.265062514056039,-0.00705778461979147,126
"precovid","d_apra_2017",0.00241078095836951,0.00248177321444782,0.971394543359149,-0.265062514056039,0.00909514107249363,126
"covid_dropped","(Intercept)",-0.00914594151925512,0.00563500402247867,-1.62305856087607,-0.240823836759893,-0.0379777253045504,143
"covid_dropped","nla_y",0.0146605308087214,0.00781276343357457,1.87648466939614,-0.240823836759893,0.060876576862025,143
"covid_dropped","ilfa_y",0.00892669323456787,0.00494191295879634,1.80632344377471,-0.240823836759893,0.037067315904729,143
"covid_dropped","ha_x_cci",0.00208031504858071,0.00214899603652035,0.968040430613893,-0.240823836759893,0.00863832698859801,143
"covid_dropped","hp_x_1_minus_cci",0.0111519407675878,0.0056033509042244,1.99022709057544,-0.240823836759893,0.0463074624074962,143
"covid_dropped","r_x_cci",0.00216416779858559,0.000433115145687871,4.99674929434405,-0.240823836759893,0.00898651822719406,143
"covid_dropped","cci_williams",0.0140180840746457,0.00358317662973582,3.91219454779689,-0.240823836759893,0.0582088727729308,143
"covid_dropped","ln_yp_over_y",0.274931885817141,0.0297435686088388,9.24340617740939,-0.240823836759893,1.14163070199423,143
"covid_dropped","yp_x_cci",0.100956726605965,0.0630603007283903,1.60095536240463,-0.240823836759893,0.419214011221908,143
"covid_dropped","ecm_lag",-0.240823836759893,0.0312426990130968,-7.70816364677524,-0.240823836759893,-1,143
"covid_dropped","dd4_income",0.0516061606824321,0.023286840656489,2.21610829239096,-0.240823836759893,0.214290085968045,143
"covid_dropped","d2_log_unemp",-0.000630141435396061,0.00528792091040988,-0.119166198979178,-0.240823836759893,-0.00261660740844489,143
"covid_dropped","abs_income_resid",-0.0742162182630605,0.0404188751689106,-1.8361772303883,-0.240823836759893,-0.308176380135724,143
"covid_dropped","d2000_gst",0.00292195443939752,0.00198290889504998,1.47356968678275,-0.240823836759893,0.0121331612298444,143
"covid_dropped","d2008_gfc",-0.00618550880990528,0.00194514682380404,-3.17997013603763,-0.240823836759893,-0.0256847864112071,143
"covid_dropped","d_recession_1991",-0.00444633463501363,0.00108546989490399,-4.0962302647803,-0.240823836759893,-0.0184630171781821,143
"covid_dropped","d_apra_2014",-0.00250701550214761,0.00393265404848198,-0.63748691627613,-0.240823836759893,-0.0104101634451043,143
"covid_dropped","d_apra_2017",0.00222845635617775,0.00232830570933981,0.95711501596997,-0.240823836759893,0.00925347086135649,143
"covid_rich","(Intercept)",-0.00869322654536202,0.00470758850969855,-1.84664112580194,-0.235391896875737,-0.0369308657636213,151
"covid_rich","nla_y",0.0128361656828972,0.00444997940176285,2.88454496616595,-0.235391896875737,0.0545310431381306,151
"covid_rich","ilfa_y",0.00808985258203959,0.00261210284264114,3.09706511167064,-0.235391896875737,0.0343675916181185,151
"covid_rich","ha_x_cci",0.00157149745213357,0.00192768751281548,0.815224169729831,-0.235391896875737,0.00667608984417658,151
"covid_rich","hp_x_1_minus_cci",0.00990319743840679,0.00538133360454345,1.84028684451853,-0.235391896875737,0.0420711059719896,151
"covid_rich","r_x_cci",0.00202971709079477,0.00036202340435004,5.6065908071298,-0.235391896875737,0.0086227143658486,151
"covid_rich","cci_williams",0.0134003368729597,0.00345641933648759,3.876941877827,-0.235391896875737,0.0569277747059991,151
"covid_rich","ln_yp_over_y",0.271367157912796,0.0308389574392308,8.79949195583327,-0.235391896875737,1.15283134854914,151
"covid_rich","yp_x_cci",0.114674678422174,0.0611290768935063,1.87594323765023,-0.235391896875737,0.487164936194514,151
"covid_rich","ecm_lag",-0.235391896875737,0.0332701200747577,-7.07517425085371,-0.235391896875737,-1,151
"covid_rich","dd4_income",0.050538213466093,0.0222288212540364,2.27354446232348,-0.235391896875737,0.214698186882669,151
"covid_rich","d2_log_unemp",-0.00113098708864878,0.00543564512818432,-0.208068603077951,-0.235391896875737,-0.00480469847798469,151
"covid_rich","abs_income_resid",-0.0679517704687769,0.0410462784476254,-1.65549163136635,-0.235391896875737,-0.288675062186395,151
"covid_rich","d2000_gst",0.00275064207063842,0.001980268373482,1.38902489555082,-0.235391896875737,0.011685372806569,151
"covid_rich","d2008_gfc",-0.00637853837301253,0.00198919478170661,-3.20659315602071,-0.235391896875737,-0.0270975273901623,151
"covid_rich","d_2020_q01",-0.0125325987114593,0.00249982551762358,-5.01338938382115,-0.235391896875737,-0.0532414194277691,151
"covid_rich","d_2020_q04",-0.141655394272599,0.00356782217832946,-39.7036026999881,-0.235391896875737,-0.601785346703666,151
"covid_rich","d_2020_q07",0.0345627350194307,0.00559503279980251,6.17739631850786,-0.235391896875737,0.146830606652855,151
"covid_rich","d_2020_q10",0.0267586406653335,0.00353541261678372,7.5687461594445,-0.235391896875737,0.113676983024863,151
"covid_rich","d_2021_q01",-0.000691676563316064,0.00344233850225157,-0.200932175282486,-0.235391896875737,-0.00293840430574039,151
"covid_rich","d_2021_q04",-0.00150435364203057,0.00268715689601871,-0.559830966423813,-0.235391896875737,-0.00639084718716853,151
"covid_rich","d_2021_q07",-0.0685428895246372,0.00387358420428405,-17.6949527646336,-0.235391896875737,-0.291186274610043,151
"covid_rich","d_2021_q10",0.0279473184345837,0.0048925491209301,5.71222030557165,-0.235391896875737,0.118726765048064,151
