"variant","n_candidates","n_aliased","n_violators","n_surviving","n_obs","lambda","adj_r2","surviving","dropped","aliased"
"williams_2009",3,1,2,0,151,-0.180681314873842,0.727231182964013,"","1992_01, 1998_01","1979_01"
"williams_2010",4,1,1,2,151,-0.185013442542638,0.72602861323642,"1992_01, 2007_01","1998_01","1979_01"
"six_with_macropru",6,1,3,2,151,-0.196201033220952,0.728632342694876,"2007_01, 2017_03","1992_01, 1998_01, 2014_12","1979_01"
"eight_full_australia",8,2,5,1,151,-0.184113110070252,0.728026529691269,"2007_01","1992_01, 1998_01, 2014_12, 2017_03, 2019_09","1979_01, 1986_01"
"australia_within_sample",5,0,3,2,151,-0.196201033220952,0.728632342694876,"2007_01, 2017_03","1992_01, 1998_01, 2014_12",""
"australia_within_sample_plus",7,0,5,2,151,-0.183824076455431,0.725968439705725,"1990_09, 2007_01","1992_01, 1998_01, 2014_12, 2017_03, 2019_09",""
"maximal_gets",15,3,7,5,151,-0.241252271956002,0.751491736263204,"1992_01, 2007_09, 2017_03, 2019_01, 2020_04","1990_09, 1993_01, 1998_09, 2008_12, 2014_12, 2019_09, 2021_12","1979_01, 1986_01, 2009_01"
