"specification","term","ols_estimate","ols_se","iv_estimate","iv_se","delta_iv_minus_ols","pct_change","n_obs","n_instruments","endogenous_terms"
"Spec11_LIVES_Headline","(Intercept)",-0.0138935119697952,0.00651375266208212,-0.0227177231245322,0.0113935275909983,-0.00882421115473699,63.5131792013494,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","nla_y",0.0268747418569672,0.00716405643831533,0.00396819745378694,0.0135448954697067,-0.0229065444031803,-85.2344722977936,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","ilfa_y",0.0154656088490778,0.00501315022237876,0.0118547666587075,0.0101102502672831,-0.00361084219037023,-23.347559256198,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","ha_x_cci",0.00245584965551805,0.00344177495359193,-0.0131965162001818,0.0109753865016314,-0.0156523658556999,-637.350328857899,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","hp_x_1_minus_cci",0.0279057793172574,0.00905369215740785,-0.0146425382370804,0.0344426025922659,-0.0425483175543378,-152.471346779501,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","r_x_cci",0.00281671840644895,0.000618924358577392,0.000586931090446233,0.00156174110934826,-0.00222978731600272,-79.1625925721776,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","cci_williams",0.000145721161267178,0.00986929321576457,-0.0148889038375965,0.0262618379893216,-0.0150346249988637,-10317.3930732668,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","ln_yp_over_y",0.459128016270494,0.113725479440038,0.533306436768897,0.266693305312802,0.074178420498403,16.1563698728202,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","yp_x_cci",-0.51008444551766,0.336943405209714,-0.826319209053972,0.63916063977248,-0.316234763536312,61.996551025072,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","ecm_lag",-0.44826755184568,0.125687434817194,-0.503087070299205,0.22541144721538,-0.0548195184535248,12.2291962083387,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","dd4_income",0.024582630490714,0.0334168740912372,0.0420043913800595,0.0391243911635365,0.0174217608893455,70.8702060828131,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d2_log_unemp",0.0031068889041444,0.00714405175005156,-0.0034196088297212,0.0108212327618236,-0.0065264977338656,-210.065371991887,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","abs_income_resid",-0.202764267531928,0.100680356292153,-0.137770722486464,0.103623841339937,0.0649935450454638,-32.053746864067,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d2000_gst",0.0102354246275449,0.00502433561245557,0.0022275024245868,0.00664418573931689,-0.00800792220295815,-78.2373227722055,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d2008_gfc",-0.00630453789731709,0.00251825659624521,-0.00833214402504779,0.00712598338204928,-0.0020276061277307,32.1610586018295,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d2020_covid",-0.155372485530486,0.00514775418652254,-0.157355441787973,0.00990248790668668,-0.00198295625748729,1.2762595968758,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d2020_rebound",0.0192183503877189,0.00622275695327527,0.0224807450848614,0.0196947689582951,0.00326239469714252,16.9754148057748,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d_recession_1991",-0.00469651036031856,0.00135450222599006,-0.00260481459125588,0.00198417519663117,0.00209169576906268,-44.53723314944,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d_apra_2014",-0.0107581508761084,0.00561386835465437,0.00178836300028904,0.00982998655777996,0.0125465138763974,-116.623330727408,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d_apra_2017",0.00986544244029721,0.00613071410527224,0.0109117901042969,0.0123203012039687,0.00104634766399972,10.6061909572927,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
"Spec11_LIVES_Headline","d_jobkeeper_2020",0.0315177944633087,0.00669883185402623,0.0205763390198346,0.0132631017071968,-0.0109414554434741,-34.7151684620938,146,6,"ecm_lag, ln_yp_over_y, yp_x_cci, ha_x_cci, hp_x_1_minus_cci"
