spec,term,baseline,extended,pct_change
Spec4_NoCCI,lambda,-0.182393597958924,-0.20341951945942624,11.527773855986657
Spec4_NoCCI,nla_y,0.02451060341433039,0.0013117631356689228,-94.64818097908604
Spec4_NoCCI,eq_y,-0.043419732607382445,-0.040612323127660006,-6.465745667086648
Spec4_NoCCI,super_y,0.013685305290468923,-0.005197668831591468,-137.979926068667
Spec4_NoCCI,ha_y,0.019273593030743396,0.017707219888410595,-8.127042735800597
Spec4_NoCCI,ln_hp_over_y,0.020779755056292645,0.028944391170782697,39.291301039747296
Spec4_NoCCI,real_rate,-0.0011200228086634366,-6.052773716020402e-4,-45.95847808453656
Spec4_NoCCI,ln_yp_over_y,1.1109395438758463,1.0384018261903247,-6.529402800124651
Spec6_Preferred,lambda,-0.23863269901018375,-0.23863269901018375,-0
Spec6_Preferred,nla_y,0.034976942793938565,0.034976942793938565,0
Spec6_Preferred,eq_y,-0.06548625974155863,-0.06548625974155863,-0
Spec6_Preferred,super_y,0.025223260047517005,0.025223260047517005,0
Spec6_Preferred,ha_y,0.00940590092076555,0.00940590092076555,0
Spec6_Preferred,ln_hp_over_y,0.04289112169227436,0.04289112169227436,0
Spec6_Preferred,real_rate,-0.002209043785732428,-0.002209043785732428,-0
Spec6_Preferred,ln_yp_over_y,1.3631660951187945,1.3631660951187945,0
Spec6_Preferred,ln_yp_over_y_post2008,0.7140718875344906,0.7140718875344906,0
