"method","n","lambda","lambda_t","yp","yp_t","yp_post08","yp_post08_t","ha_y","ha_y_t"
"AR_realtime",86,-0.0510994912592,-0.8910697120634,-0.222361629967275,-2.22802692210566,0.224898097515389,2.17989461000575,0.0190479265371954,2.38900571748605
"Italy_fullsample",86,-0.197399293998707,-1.94959366544839,0.244169690511038,0.953718207695634,0.225143371709363,1.11482384558665,0.0082170054469436,1.23337687075074
"Italy_realtime",86,-0.118157445720518,-1.86434930568272,-0.105090984233681,-1.53426226616058,0.0970939572093561,1.38958482169357,0.0118065265556271,1.86445028686353
