"window_end","term","estimate","se","ci_low","ci_high"
2003-04-01,"ecm_lag",-0.172559068402384,0.050690522725402,-0.271912492944172,-0.0732056438605961
2003-04-01,"real_rate",0.00018726280672931,0.000852241185117167,-0.00148312991610034,0.00185765552955896
2003-04-01,"ln_yp_over_y",0.100168038956343,0.080723211092787,-0.0580494547855198,0.258385532698205
2003-04-01,"networth_y",0.0116839772911981,0.00623369321998569,-0.000534061419973824,0.0239020160023701
2003-07-01,"ecm_lag",-0.175018446894847,0.0562678481757477,-0.285303429319313,-0.0647334644703817
2003-07-01,"real_rate",0.000293103536943186,0.000778804208250438,-0.00123335271122767,0.00181955978511405
2003-07-01,"ln_yp_over_y",0.100381776475419,0.0851919290405196,-0.0665944044439994,0.267357957394838
2003-07-01,"networth_y",0.0124811151209575,0.00611139211191141,0.000502786581611132,0.0244594436603039
2003-10-01,"ecm_lag",-0.170017953557423,0.0613025672388166,-0.290170985345504,-0.0498649217693427
2003-10-01,"real_rate",0.000338127407098806,0.000736534537860542,-0.00110548028710786,0.00178173510130547
2003-10-01,"ln_yp_over_y",0.0997529990603991,0.0907265552433114,-0.0780710492164912,0.277577047337289
2003-10-01,"networth_y",0.0125230803238525,0.00597729892032052,0.000807574440024291,0.0242385862076807
2004-01-01,"ecm_lag",-0.149301516051144,0.0570827806339626,-0.261183766093711,-0.0374192660085776
2004-01-01,"real_rate",0.000410612183969056,0.000676635047759522,-0.000915592509639607,0.00173681687757772
2004-01-01,"ln_yp_over_y",0.114247523685129,0.0858807657471468,-0.0540787771792784,0.282573824549537
2004-01-01,"networth_y",0.0118561272022025,0.00566596777027896,0.000750830372455788,0.0229614240319493
2004-04-01,"ecm_lag",-0.158067472566001,0.0578112304043642,-0.271377484158555,-0.0447574609734472
2004-04-01,"real_rate",0.000906672182886086,0.000799933523469079,-0.000661197523113309,0.00247454188888548
2004-04-01,"ln_yp_over_y",0.127229803842897,0.0792713352448973,-0.028142013237102,0.282601620922895
2004-04-01,"networth_y",0.0149072515862526,0.00637576276810752,0.0024107565607619,0.0274037466117434
2004-07-01,"ecm_lag",-0.158816909485677,0.0589395759390775,-0.274338478326269,-0.0432953406450853
2004-07-01,"real_rate",0.000978733626079879,0.00085189345633191,-0.000690977548330664,0.00264844480049042
2004-07-01,"ln_yp_over_y",0.125205873190628,0.0764082144863807,-0.0245542272026786,0.274965973583934
2004-07-01,"networth_y",0.0153962226401273,0.00601100220035495,0.00361465832743164,0.027177786952823
2004-10-01,"ecm_lag",-0.168346771293967,0.0627299624368521,-0.291297497670197,-0.0453960449177368
2004-10-01,"real_rate",0.000950718519552028,0.000809368503561418,-0.000635643747428351,0.00253708078653241
2004-10-01,"ln_yp_over_y",0.129184768866099,0.0777789473246848,-0.0232619678902833,0.281631505622481
2004-10-01,"networth_y",0.0151836895384612,0.0052598136044686,0.00487445487370278,0.0254929242032197
2005-01-01,"ecm_lag",-0.169511459783738,0.0686295288296691,-0.30402533628989,-0.0349975832775866
2005-01-01,"real_rate",0.00122390245259651,0.000799229375649693,-0.000342587123676891,0.0027903920288699
2005-01-01,"ln_yp_over_y",0.114560906519694,0.0761595041748704,-0.0347117216630517,0.26383353470244
2005-01-01,"networth_y",0.0180288543927346,0.00454903928695721,0.0091127373902985,0.0269449713951708
2005-04-01,"ecm_lag",-0.188681114496137,0.0748416179871057,-0.335370685750864,-0.0419915432414094
