"term","prior","prior_sign","ols_estimate","p_value","verdict"
"r_x_cci","negative",-1,0.00158776727714058,0.299114268111676,"FAIL"
"hp_x_1_minus_cci","negative",-1,0.004574670406679,0.693304476822449,"FAIL"
"yp_x_cci","positive",1,-0.664730355439545,0.099177720413249,"FAIL"
"ln_yp_over_y","small positive",1,0.535391180718316,0.00996356459036053,"PASS"
