"date","scenario","dlog_c_baseline","dlog_c_cf","delta_dlog_c","cum_delta_log_c"
2003-07-01,"no_apra_2014_2017",0.00786960702176193,0.00786960706826642,0.0000000000465044912301149,0.0000000000465044912301149
2003-10-01,"no_apra_2014_2017",0.0101216707886984,0.0101216708582849,0.0000000000695865674110729,0.000000000116091058641188
2004-01-01,"no_apra_2014_2017",0.00486974787756424,0.00486974798168946,0.00000000010412522059855,0.000000000220216279239738
2004-04-01,"no_apra_2014_2017",0.00529238523178134,0.00529238538690711,0.000000000155125768133701,0.000000000375342047373439
2004-07-01,"no_apra_2014_2017",0.0163568402322085,0.0163568404633149,0.000000000231106387499347,0.000000000606448434872786
2004-10-01,"no_apra_2014_2017",0.00679297533272284,0.00679297567853675,0.00000000034581390789129,0.000000000952262342764076
2005-01-01,"no_apra_2014_2017",0.00629094986187529,0.00629095037933073,0.000000000517455437006042,0.00000000146971777977012
2005-04-01,"no_apra_2014_2017",0.00451257198722299,0.00451257275475842,0.000000000767535427576016,0.00000000223725320734613
2005-07-01,"no_apra_2014_2017",0.00722114245805157,0.00722114360152583,0.000000001143474264928,0.00000000338072747227414
2005-10-01,"no_apra_2014_2017",0.0121400235907376,0.0121400253017645,0.00000000171102690522951,0.00000000509175437750364
2006-01-01,"no_apra_2014_2017",0.0106362942898649,0.0106362968501436,0.00000000256027870605691,0.00000000765203308356055
2006-04-01,"no_apra_2014_2017",0.00434918750949503,0.00434919130712446,0.00000000379762943574641,0.000000011449662519307
2006-07-01,"no_apra_2014_2017",-0.00351582948488585,-0.00351582382718023,0.00000000565770561650192,0.0000000171073681358089
2006-10-01,"no_apra_2014_2017",0.00179577839215201,0.00179578685800034,0.00000000846584832835465,0.0000000255732164641635
2007-01-01,"no_apra_2014_2017",0.0139021299647599,0.0139021426325375,0.0000000126677775907913,0.0000000382409940549548
2007-04-01,"no_apra_2014_2017",0.00397056260393572,0.00397058139386311,0.0000000187899273909262,0.000000057030921445881
2007-07-01,"no_apra_2014_2017",0.00245284842515567,0.00245287641831124,0.0000000279931555704702,0.0000000850240770163511
2007-10-01,"no_apra_2014_2017",0.00874035305316783,0.00874039494028551,0.0000000418871176858376,0.000000126911194702189
2008-01-01,"no_apra_2014_2017",0.00689381251651552,0.00689387519350843,0.0000000626769929125762,0.000000189588187614765
2008-04-01,"no_apra_2014_2017",0.00699363333514204,0.00699372671043222,0.0000000933752901761606,0.000000282963477790926
2008-07-01,"no_apra_2014_2017",-0.00867494547443216,-0.00867480636591597,0.000000139108516192255,0.00000042207199398318
2008-10-01,"no_apra_2014_2017",-0.00948545395370144,-0.0094852458044823,0.000000208149219138587,0.000000630221213121767
2009-01-01,"no_apra_2014_2017",0.00942674911988734,0.00942706057191443,0.000000311452027088738,0.000000941673240210505
2009-04-01,"no_apra_2014_2017",0.00843294699580473,0.00843340894696547,0.000000461951160742394,0.0000014036244009529
2009-07-01,"no_apra_2014_2017",0.00406542126871535,0.00406610943453662,0.000000688165821272069,0.00000209179022222497
2009-10-01,"no_apra_2014_2017",0.0145928559034188,0.0145938855231466,0.00000102961972781729,0.00000312140995004226
2010-01-01,"no_apra_2014_2017",0.0119920753558309,0.0119936157696634,0.00000154041383253721,0.00000466182378257947
2010-04-01,"no_apra_2014_2017",0.0163868781613181,0.0163891625026638,0.00000228434134568259,0.00000694616512826205
2010-07-01,"no_apra_2014_2017",-0.00104475033350257,-0.00104134832142575,0.00000340201207682045,0.0000103481772050825
2010-10-01,"no_apra_2014_2017",-0.00486339502905252,-0.00485830716792518,0.00000508786112733955,0.0000154360383324221
2011-01-01,"no_apra_2014_2017",0.00150971949841774,0.00151732661680736,0.00000760711838962967,0.0000230431567220517
2011-04-01,"no_apra_2014_2017",-0.00198726341922397,-0.00197599293225309,0.0000112704869708862,0.0000343136436929379
2011-07-01,"no_apra_2014_2017",0.0062882958582719,0.00630505746749014,0.0000167616092182441,0.000051075252911182
2011-10-01,"no_apra_2014_2017",-0.0043814449346615,-0.00435642944080752,0.0000250154938539818,0.0000760907467651638
2012-01-01,"no_apra_2014_2017",-0.0043919787222996,-0.00435469288081794,0.0000372858414816523,0.000113376588246816
2012-04-01,"no_apra_2014_2017",0.00475287357577805,0.00480810433028294,0.0000552307545048925,0.000168607342751709
2012-07-01,"no_apra_2014_2017",-0.011824525111341,-0.0117429371679928,0.0000815879433482044,0.000250195286099913
2012-10-01,"no_apra_2014_2017",0.00849377320759956,0.00861432085960813,0.000120547652008578,0.000370742938108491
2013-01-01,"no_apra_2014_2017",-0.00258169909174835,-0.00240464771420598,0.00017705137754237,0.000547794315650861
2013-04-01,"no_apra_2014_2017",0.00188289160719978,0.0021386437661023,0.000255752158902515,0.000803546474553376
2013-07-01,"no_apra_2014_2017",0.00000942740997225021,0.000376071025150041,0.00036664361517779,0.00117019008973117
2013-10-01,"no_apra_2014_2017",0.00282424495979857,0.00334340163502207,0.000519156675223491,0.00168934676495466
2014-01-01,"no_apra_2014_2017",0.00511117644360772,0.00583050453246714,0.000719328088859415,0.00240867485381407
2014-04-01,"no_apra_2014_2017",-0.000574888790360578,0.000388926900546453,0.00096381569090703,0.0033724905447211
2014-07-01,"no_apra_2014_2017",0.00862293609559258,0.00987841266672753,0.00125547657113495,0.00462796711585605
2014-10-01,"no_apra_2014_2017",0.00361285610009348,0.0051961200397585,0.00158326393966503,0.00621123105552108
2015-01-01,"no_apra_2014_2017",-0.000468164577786401,0.00145855373365152,0.00192671831143792,0.008137949366959
2015-04-01,"no_apra_2014_2017",0.00566739853416732,0.00793033295139613,0.0022629344172288,0.0104008837841878
2015-07-01,"no_apra_2014_2017",0.00603837552505752,0.00863489252182145,0.00259651699676393,0.0129974007809517
2015-10-01,"no_apra_2014_2017",-0.00341368577628026,-0.000481543498790206,0.00293214227749005,0.0159295430584418
2016-01-01,"no_apra_2014_2017",0.00724700008835111,0.0105283612863813,0.00328136119803016,0.019210904256472
2016-04-01,"no_apra_2014_2017",0.0044136743318195,0.00807408277166434,0.00366040843984484,0.0228713126963168
2016-07-01,"no_apra_2014_2017",-0.0030720990332859,0.00101929415107625,0.00409139318436215,0.0269627058806789
2016-10-01,"no_apra_2014_2017",-0.000332245258450038,0.004257012834965,0.00458925809341504,0.031551963974094
2017-01-01,"no_apra_2014_2017",0.00615555936005062,0.0112981567380103,0.00514259737795971,0.0366945613520537
2017-04-01,"no_apra_2014_2017",0.000795889944763909,0.00650877368244204,0.00571288373767813,0.0424074450897318
2017-07-01,"no_apra_2014_2017",0.00478245219502881,0.0110637487398009,0.00628129654477208,0.0486887416345039
2017-10-01,"no_apra_2014_2017",0.00409322558619872,0.0109016462937968,0.0068084207075981,0.055497162342102
2018-01-01,"no_apra_2014_2017",-0.00193312173015328,0.00532603585136146,0.00725915758151474,0.0627563199236167
2018-04-01,"no_apra_2014_2017",-0.00158984902955447,0.00602481081625597,0.00761465984581044,0.0703709797694272
