"draw","knots","adj_r2","lambda","n_obs","n_aliased"
58,"1983-07-04, 1983-08-11, 1986-12-28, 1998-03-23",0.726930588591691,-0.187945320214337,146,2
59,"1981-05-19, 1984-04-06, 1996-09-07, 1999-05-26",0.736715551194493,-0.223044777778926,146,2
60,"1994-08-04, 1995-09-10, 2002-06-13, 2002-12-05",0.71839248180862,-0.177161539368531,146,0
61,"1991-08-18, 1995-10-05, 1997-08-23, 1998-04-02",0.730216813795868,-0.208995373591048,146,0
62,"1983-11-29, 1992-10-12, 1998-01-24, 2002-05-19",0.727202406929698,-0.187244963069802,146,1
63,"1985-02-05, 1996-05-14, 2002-10-22, 2006-12-08",0.72344143965654,-0.18992751819652,146,1
64,"1979-05-07, 1981-04-04, 1981-12-06, 2002-03-03",0.724261868760976,-0.182041661824225,146,3
65,"1986-08-13, 1993-02-08, 1993-10-25, 1999-01-16",0.735615208768224,-0.222730919666467,146,1
66,"1990-01-11, 1990-04-02, 1990-07-14, 1996-08-17",0.729787805652203,-0.183998439979631,146,0
67,"1992-03-22, 1997-06-17, 2002-09-05, 2005-11-14",0.718900222673323,-0.18272113626045,146,0
68,"1981-05-15, 1986-04-01, 1995-06-07, 1998-02-08",0.727087897241116,-0.188497931858911,146,2
69,"1979-06-10, 1980-12-29, 1998-02-04, 2003-03-23",0.732762667293306,-0.172142957652066,146,2
70,"1981-04-23, 1983-09-19, 1991-03-25, 1999-06-08",0.736709115459777,-0.223603655236741,146,2
71,"1991-07-17, 1999-05-06, 1999-11-04, 2000-08-11",0.734419708304795,-0.234564038724072,146,0
72,"1983-11-09, 1997-07-23, 1997-09-23, 2005-08-29",0.723394826695405,-0.182186395896656,146,2
73,"1980-02-22, 1982-09-14, 2003-09-16, 2007-07-03",0.725209585880233,-0.17398093451754,146,2
74,"1980-02-22, 1987-03-02, 1993-04-16, 1999-04-30",0.735156025033737,-0.222598404224982,146,1
75,"1980-07-30, 1994-09-08, 2001-09-07, 2003-01-17",0.720921779960603,-0.178989592320262,146,1
76,"1981-04-29, 1984-09-01, 1991-05-23, 1993-06-10",0.723092305829905,-0.186466043569472,146,2
77,"1988-04-04, 2003-12-07, 2005-01-22, 2006-09-09",0.733319913067311,-0.180786160045812,146,0
78,"1982-09-03, 1990-03-30, 1992-07-05, 2001-02-01",0.72332707190343,-0.197610632927683,146,1
79,"1981-07-18, 1993-05-19, 1998-08-08, 2001-09-24",0.736091529493187,-0.217117646436295,146,1
80,"1982-11-17, 1982-11-27, 1989-12-26, 1990-09-11",0.729685151678782,-0.190794145648553,146,2
81,"1980-09-11, 1985-11-20, 1993-06-19, 2002-10-21",0.723141688394816,-0.183620377091221,146,2
82,"1986-06-20, 1999-11-18, 2000-11-04, 2005-11-14",0.736348917608686,-0.23514178693651,146,1
83,"1987-12-23, 1988-04-01, 1992-10-12, 1997-05-06",0.726623328016341,-0.176620258809512,146,0
84,"1987-12-16, 1992-10-01, 1994-10-16, 1998-02-27",0.726546164956982,-0.188908321182619,146,0
85,"1991-05-14, 1993-10-30, 2002-05-26, 2002-09-20",0.718272810408283,-0.184894249271182,146,0
86,"1989-06-08, 1995-02-14, 2003-04-28, 2005-12-24",0.723320613530716,-0.16543174571828,146,0
87,"1984-07-20, 1987-11-10, 1997-08-01, 1999-05-14",0.737121750464513,-0.218365056175903,146,1
88,"1979-09-17, 1990-02-28, 1991-12-13, 1997-05-02",0.72091095360459,-0.182999470224801,146,1
89,"1994-08-11, 1996-06-14, 2001-05-21, 2007-02-01",0.721667406839015,-0.19486257652658,146,0
90,"1983-08-15, 1984-01-18, 1991-03-27, 1995-08-18",0.722583634216756,-0.188333967443138,146,2
91,"1982-11-04, 1990-04-19, 2000-04-04, 2006-01-21",0.734246405145221,-0.23292361297761,146,1
92,"1982-03-08, 1983-03-26, 1995-09-05, 2006-04-06",0.724248838835277,-0.185201282768616,146,2
93,"1982-04-26, 1991-03-17, 1999-11-14, 2001-11-28",0.733410562496869,-0.22836754255232,146,1
94,"1981-03-18, 1983-05-03, 2000-08-21, 2000-09-07",0.730699119806978,-0.215596890141978,146,3
95,"1991-05-02, 1991-06-18, 1992-06-16, 2003-09-18",0.722271041072273,-0.178114294094073,146,1
