"a","b","n_overlap","rho"
"Kalman_state_space","Williams_max_GETS",194,-0.00418773110749658
"PCA_first_factor","Williams_max_GETS",146,-0.217693036150413
"Credit_to_income_gap","Williams_max_GETS",146,0.33463310287639
"Credit_to_income_gap","Kalman_state_space",146,0.304471609982352
"Kalman_state_space","PCA_first_factor",146,0.764196704605186
"Credit_to_income_gap","PCA_first_factor",146,0.238314541654332
