spec_form,sample,n,lambda,lambda_t,nla_y,nla_y_t,ilfa_y,ilfa_y_t,housing_term,housing_coef,housing_t,ln_yp_over_y,ln_yp_over_y_t,note
Spec6_form (baseline),"Spec6_sample (2002Q3-2024Q4, n=86)",86,-0.23863269901018375,-2.5522783281972807,0.008346642262042356,0.23768655919552073,-0.009608068287235354,NA,ha_y,0.002244555523344656,0.29590900509707807,0.3252960044773708,1.497192426295598,"baseline reproduction; committed lambda=-0.2386, n=86 -- MATCH"
Spec11_form (baseline),"Spec11_sample (1988Q3-2024Q4, n=146)",146,-0.44826755184568035,-3.5665263794878226,0.026874741856967206,3.751330281714942,0.01546560884907777,3.0850080614060027,ha_x_cci,0.002455849655518051,0.7135416140311727,0.45912801627049354,4.037160524898631,"baseline reproduction; committed lambda=-0.4483, n=146 -- MATCH"
Spec11_form,"Spec6_sample (2002Q3-2024Q4, n=86)",86,-0.54225488494949,-3.8068174445537917,0.051288801415189746,1.4506776438577151,0.020563406179781828,2.085737072378231,ha_x_cci,0.008278411193734512,1.6401491905955001,0.48926298256737133,3.7361756172875835,Cell A: Spec 11 regressors on Spec 6's exact estimation window (form-only test)
Spec6_form,"Spec11_sample (1988Q3-2024Q4, n=146)",146,-0.2617482566210115,-2.492327313582317,0.019195174365706946,1.173726508351214,0.013275876853500061,NA,ha_y,0.007336005234491327,1.2844672166439066,0.2783207661705893,2.054722135013554,"PARTIAL: cci_williams is a max-scaled spline index spanning negative values (range shown above), so log(cci_ratio)-style Delta^2-log transform is undefined for it. Substituted the second difference (not log-difference) of cci_williams, lagged 2 quarters, as the closest available 'acceleration in credit conditions' analogue. This cell is form-approximate, not form-identical, on the SR credit term; the LR block (nla_y, eq_y, super_y, ha_y, ln_hp_over_y, real_rate, ln_yp_over_y, ln_yp_over_y_post2008) is unchanged from Spec 6."
