"specification","term","ols_estimate","ols_se","iv_estimate","iv_se","delta_iv_minus_ols","pct_change","n_obs","n_instruments"
"Spec2_LogNetWorth_CCI","(Intercept)",-0.152257477518293,0.0540836833055612,-0.147471819308101,0.0545147151202972,0.00478565821019189,-3.14313509470621,86,6
"Spec2_LogNetWorth_CCI","ln_networth_y",0.0614715777499538,0.0208462641460125,0.0585134178667581,0.0211125874570797,-0.00295815988319564,-4.81224004893524,86,6
"Spec2_LogNetWorth_CCI","ln_hp_over_y",-0.0116739775654186,0.00654027041113922,-0.0120862805092157,0.00658251624121958,-0.000412302943797144,3.53181202796291,86,6
"Spec2_LogNetWorth_CCI","real_rate",-0.000633150691460495,0.00121788381761479,-0.000628541428460522,0.00122385852337541,0.00000460926299997296,-0.727988307071217,86,6
"Spec2_LogNetWorth_CCI","ln_yp_over_y",-0.00309952309363532,0.00311196808817193,-0.00573493922995437,0.00390642871124651,-0.00263541613631905,85.0265042945064,86,6
"Spec2_LogNetWorth_CCI","ecm_lag",-0.0829004982342061,0.0389911351806959,-0.08523440449823,0.03923701174464,-0.00233390626402388,2.81531029817246,86,6
"Spec2_LogNetWorth_CCI","d2_logcci_lag2",-0.0300697519400453,0.0128303894228097,-0.0309245491881153,0.0129156013075709,-0.000854797248070013,2.84271466480454,86,6
"Spec2_LogNetWorth_CCI","d2008_gfc",-0.0128930359704173,0.0104429100578364,-0.0130102374782194,0.0104945986922207,-0.000117201507802072,0.909029557281834,86,6
"Spec2_LogNetWorth_CCI","d2020_covid",-0.164326689906848,0.0129997534748044,-0.164675542721571,0.0130671298078451,-0.000348852814722911,0.212292242313567,86,6
"Spec2_LogNetWorth_CCI","d2020_rebound",0.0336575921631578,0.0133671401370208,0.0328997505954739,0.0134495005468808,-0.000757841567683895,-2.25162145886788,86,6
"Spec2_LogNetWorth_CCI","d_apra_2014",-0.00646113048228683,0.00536550596385182,-0.00678593914854705,0.00539951262719093,-0.000324808666260217,5.02711819782435,86,6
"Spec2_LogNetWorth_CCI","d_apra_2017",-0.0097894003093789,0.00754298098727366,-0.00875222227927665,0.00763573253342759,0.00103717803010225,-10.5949087515459,86,6
"Spec2_LogNetWorth_CCI","d_jobkeeper_2020",0.0230712678137919,0.0089909715936474,0.0226764650594226,0.00904183318470149,-0.000394802754369279,-1.71123129234046,86,6
